date,Disabled/Ill
2010-05-01,12.057009
2010-06-01,11.95182
2010-07-01,11.673667
2010-08-01,11.562701
2010-09-01,11.561469
2010-10-01,11.678596
2010-11-01,11.577768
2010-12-01,11.651629
2011-01-01,11.810638
2011-02-01,11.87052
2011-03-01,12.217088
2011-04-01,12.391436
2011-05-01,12.393678
2011-06-01,12.474384
2011-07-01,12.147243
2011-08-01,12.183725
2011-09-01,12.242582
2011-10-01,12.250448
2011-11-01,12.185969
2011-12-01,12.237029
2012-01-01,12.503398
2012-02-01,12.8403
2012-03-01,12.6469
2012-04-01,12.942982
2012-05-01,12.615375
2012-06-01,12.515493
2012-07-01,12.686694
2012-08-01,12.342756
2012-09-01,12.376116
2012-10-01,12.289308
2012-11-01,12.56798
2012-12-01,12.742847
2013-01-01,12.67168
2013-02-01,12.727564
2013-03-01,12.891805
2013-04-01,13.069874
2013-05-01,12.797267
2013-06-01,13.121341
2013-07-01,12.973383
2013-08-01,13.168962
2013-09-01,13.20895
2013-10-01,13.334078
2013-11-01,13.338567
2013-12-01,13.338698
2014-01-01,13.225818
2014-02-01,13.176487
2014-03-01,13.287955
2014-04-01,13.326263
2014-05-01,13.180835
2014-06-01,13.541233
2014-07-01,13.412677
2014-08-01,13.456033
2014-09-01,13.303033
2014-10-01,13.238825
2014-11-01,13.264656
2014-12-01,13.206165
2015-01-01,13.334998
2015-02-01,13.401334
2015-03-01,13.782138
2015-04-01,13.586237
2015-05-01,13.365576
2015-06-01,13.619663
2015-07-01,13.04476
2015-08-01,13.265514
2015-09-01,13.390722
2015-10-01,13.216815
2015-11-01,13.450626
2015-12-01,13.429032
2016-01-01,13.363203
2016-02-01,13.077169
2016-03-01,13.521247
2016-04-01,13.592345
2016-05-01,13.546685
2016-06-01,13.495003
2016-07-01,13.09119
2016-08-01,13.293776
2016-09-01,13.190225
2016-10-01,13.240814
2016-11-01,13.467831
2016-12-01,13.31345
2017-01-01,13.176454
2017-02-01,13.258606
2017-03-01,13.274846
2017-04-01,13.182408
2017-05-01,13.328309
2017-06-01,13.496308
2017-07-01,13.098095
2017-08-01,13.104343
2017-09-01,13.182273
2017-10-01,12.931738
2017-11-01,12.776831
2017-12-01,12.66252
2018-01-01,12.714657
2018-02-01,12.536162
2018-03-01,12.752965
2018-04-01,13.05734
2018-05-01,12.985345
2018-06-01,13.074834
2018-07-01,13.115707
2018-08-01,12.606587
2018-09-01,12.672038
2018-10-01,12.380058
2018-11-01,12.361347
2018-12-01,12.5184
2019-01-01,12.372347
2019-02-01,12.575939
2019-03-01,12.616269
2019-04-01,12.676937
2019-05-01,12.876665
2019-06-01,12.618992
2019-07-01,12.267093
2019-08-01,12.112742
2019-09-01,12.347843
2019-10-01,12.116146
2019-11-01,12.514021
2019-12-01,12.537121
2020-01-01,12.280942
2020-02-01,12.182304
2020-03-01,12.068066
2020-04-01,11.676013
2020-05-01,11.514094
2020-06-01,11.465242
2020-07-01,11.214896
2020-08-01,11.40747
2020-09-01,11.905424
2020-10-01,11.700165
2020-11-01,11.790639
2020-12-01,12.130319
2021-01-01,12.386531
2021-02-01,12.303866
2021-03-01,12.637918
2021-04-01,12.547013
2021-05-01,12.284324
2021-06-01,12.261097
2021-07-01,11.995285
2021-08-01,12.190481
2021-09-01,12.600784
2021-10-01,12.19516
2021-11-01,11.999684
2021-12-01,12.087392
2022-01-01,12.021718
2022-02-01,12.344909
2022-03-01,12.54568
2022-04-01,12.595976
2022-05-01,12.627249
2022-06-01,12.727783
2022-07-01,12.502714
2022-08-01,12.046952
2022-09-01,12.060339
2022-10-01,12.049828
2022-11-01,12.033979
2022-12-01,11.946756
2023-01-01,11.932854
2023-02-01,11.822404
2023-03-01,11.878951
2023-04-01,12.191931
2023-05-01,12.164394
2023-06-01,12.371436
2023-07-01,12.225994
2023-08-01,12.131906
2023-09-01,12.154612
2023-10-01,11.932643
