date,Tot,TotAdj,Age1635
2008-06-01,19.6275491018894,20.0186171814646,38.8023050119788
2008-07-01,20.752725036674,21.1224030346585,38.1221567933049
2008-08-01,20.7483283104483,21.0949971577434,38.658971575069
2008-09-01,21.0194004547729,21.3620508018704,38.3609647882145
2008-10-01,20.6190457244311,20.8449578849811,36.4272164144503
2008-11-01,20.4112425272685,20.7412691188771,35.834981670299
2008-12-01,20.1654280067154,20.5831471696353,35.0205345972414
2009-01-01,20.2550958931544,20.7133766673899,34.9463978290682
2009-02-01,19.8722411059135,20.3035548791977,35.3857556670162
2009-03-01,19.7428006815411,20.0734923514316,34.4846930042731
2009-04-01,19.7531983620783,20.125960900264,34.8364091128569
2009-05-01,19.4527900621683,19.8138348519926,33.0843265273911
2009-06-01,19.4038708649639,19.8279825109756,32.6160111756302
2009-07-01,19.667779821586,20.086534290061,34.530957467573
2009-08-01,18.5457788059895,18.9740262554275,31.2123808125668
2009-09-01,18.3702351907393,18.7658923555547,30.0378619276055
2009-10-01,18.136757042647,18.4342341696976,29.8992242919435
2009-11-01,18.3129443170096,18.6930127467367,30.9118313770138
2009-12-01,18.5832187937496,18.8418260656191,30.6033624076685
2010-01-01,18.7356663541242,19.0116252103109,31.9599883992774
2010-02-01,18.9937505077967,19.2807387338698,32.8193584063843
2010-03-01,19.3343816317758,19.497704348396,31.3383523051376
2010-04-01,18.7053202697709,18.9334177056558,29.2574018483398
2010-05-01,18.8139508750435,19.0678074082342,30.1360782824274
2010-06-01,18.5899986127991,18.9325400461596,31.4630865957631
2010-07-01,18.1551036402164,18.478722590509,29.7922851020041
2010-08-01,18.659625380418,18.990583717683,31.3634857025116
2010-09-01,18.3625891012416,18.6695845724607,30.8201595274561
2010-10-01,18.1514879996952,18.5230579570304,30.6075891775267
2010-11-01,18.255142093588,18.6127950685677,29.5944453919921
2010-12-01,18.0170849589231,18.3986582778102,29.6752508774381
2011-01-01,17.6146712037965,18.0852640934065,28.4669278202979
2011-02-01,17.4995975581606,17.9974135601039,28.2371569938954
2011-03-01,17.6687041851674,18.146594610363,28.9271923806745
2011-04-01,17.5522007465707,17.9990173559845,28.6081819063854
2011-05-01,17.5299281779284,17.9204994682126,29.5059470062316
2011-06-01,17.7502340994411,18.0349424168584,28.3800909437893
2011-07-01,17.694160318712,18.0698389908981,30.1476619393091
2011-08-01,17.6510567333275,17.9714397872428,28.4939929374317
2011-09-01,17.6230385553427,17.9358443038108,28.473390551721
2011-10-01,18.3344672853569,18.683509721073,29.8759054727448
2011-11-01,17.9202142232167,18.3120564977423,30.2928504137971
2011-12-01,17.8366335730001,18.265527096406,30.9108902601495
2012-01-01,17.7500013100059,18.1369250155994,30.0258859542004
2012-02-01,16.9057443894212,17.2795608926099,26.4651059967166
2012-03-01,17.0939802970068,17.6477121155126,27.0216655520083
2012-04-01,17.7268280714321,18.3105073571222,30.074185979291
