date,SSDI
1970-12-31,2.665629
1971-12-31,2.9299
1972-12-31,3.271486
1973-12-31,3.560706
1974-12-31,3.911951
1975-12-31,4.352498
1976-12-31,4.623827
1977-12-31,4.854206
1978-12-31,4.868576
1979-12-31,4.777218
1980-12-31,4.682172
1981-12-31,4.456274
1982-12-31,3.973465
1983-12-31,3.81293
1984-12-31,3.821804
1985-12-31,3.907169
1986-12-31,3.993279
1987-12-31,4.044724
1988-12-31,4.0743
1989-12-31,4.128827
1990-12-31,4.265981
1991-12-31,4.51304
1992-12-31,4.889696
1993-12-31,5.253566
1994-12-31,5.583519
1995-12-31,5.857656
1996-12-31,6.072034
1997-12-31,6.153039
1998-12-31,6.33457
1999-12-31,6.52373
2000-12-31,6.673362
2001-12-31,6.913243
2002-12-31,7.221268
2003-12-31,7.595452
2004-12-31,7.949272
2005-12-31,8.314314
2006-12-31,8.619385
2007-12-31,8.920371
2008-12-31,9.273839
2009-12-31,9.696398
2010-12-31,10.185886
2011-12-31,10.614398
2012-12-31,10.890896
2013-12-31,10.988269
2014-12-31,10.931092
2015-12-31,10.806466
2016-12-31,10.61007
2017-12-31,10.411252
2018-12-31,10.162488
2019-12-31,9.925468
2020-12-31,9.618387
2021-12-31,9.21808
2022-12-31,8.840733
