DATE,GDPC1,UNRATE,PCEPI,GDPI
1947-01-01,2182.681,,,10.398402785330783
1947-04-01,2176.892,,,10.370823696254421
1947-07-01,2172.432,,,10.349576030460577
1947-10-01,2206.452,,,10.511649032771476
1948-01-01,2239.682,3.4,,10.669958435087498
1948-02-01,,3.8,,
1948-03-01,,4.0,,
1948-04-01,2276.69,3.9,,10.846266420670148
1948-05-01,,3.5,,
1948-06-01,,3.6,,
1948-07-01,2289.77,3.6,,10.908580202863757
1948-08-01,,3.9,,
1948-09-01,,3.8,,
1948-10-01,2292.364,3.7,,10.920938150188697
1948-11-01,,3.8,,
1948-12-01,,4.0,,
1949-01-01,2260.807,4.3,,10.770599004570675
1949-02-01,,4.7,,
1949-03-01,,5.0,,
1949-04-01,2253.128,5.3,,10.734015859810379
1949-05-01,,6.1,,
1949-06-01,,6.2,,
1949-07-01,2276.424,6.7,,10.84499918320352
1949-08-01,,6.8,,
1949-09-01,,6.6,,
1949-10-01,2257.352,7.9,,10.754139209656387
1949-11-01,,6.4,,
1949-12-01,,6.6,,
1950-01-01,2346.104,6.5,,11.176958230852648
1950-02-01,,6.4,,
1950-03-01,,6.3,,
1950-04-01,2417.682,5.8,,11.517959446590726
1950-05-01,,5.5,,
1950-06-01,,5.4,,
1950-07-01,2511.127,5.0,,11.963136157376791
1950-08-01,,4.5,,
1950-09-01,,4.4,,
1950-10-01,2559.214,4.2,,12.192225059849576
1950-11-01,,4.2,,
1950-12-01,,4.3,,
1951-01-01,2593.967,3.7,,12.357790111269642
1951-02-01,,3.4,,
1951-03-01,,3.4,,
1951-04-01,2638.898,3.1,,12.571843669965437
1951-05-01,,3.0,,
1951-06-01,,3.2,,
1951-07-01,2693.259,3.1,,12.830822226068397
1951-08-01,,3.1,,
1951-09-01,,3.3,,
1951-10-01,2699.156,3.5,,12.858915832612414
1951-11-01,,3.5,,
1951-12-01,,3.1,,
1952-01-01,2727.954,3.2,,12.996110962552132
1952-02-01,,3.1,,
1952-03-01,,2.9,,
1952-04-01,2733.8,2.9,,13.0239616025142
1952-05-01,,3.0,,
1952-06-01,,3.0,,
1952-07-01,2753.517,3.2,,13.117894388715373
1952-08-01,,3.4,,
1952-09-01,,3.1,,
1952-10-01,2843.941,3.0,,13.548678902559013
1952-11-01,,2.8,,
1952-12-01,,2.7,,
1953-01-01,2896.811,2.9,,13.80055425917798
1953-02-01,,2.6,,
1953-03-01,,2.6,,
1953-04-01,2919.206,2.7,,13.907245172956713
1953-05-01,,2.5,,
1953-06-01,,2.5,,
1953-07-01,2902.785,2.6,,13.829014697620226
1953-08-01,,2.7,,
1953-09-01,,2.9,,
1953-10-01,2858.845,3.1,,13.619682313095216
1953-11-01,,3.5,,
1953-12-01,,4.5,,
1954-01-01,2845.192,4.9,,13.554638729892668
1954-02-01,,5.2,,
1954-03-01,,5.7,,
1954-04-01,2848.305,5.9,,13.569469219492722
1954-05-01,,5.9,,
1954-06-01,,5.6,,
1954-07-01,2880.482,5.8,,13.722762076499123
1954-08-01,,6.0,,
1954-09-01,,6.1,,
1954-10-01,2936.852,5.7,,13.991311610310566
1954-11-01,,5.3,,
1954-12-01,,5.0,,
1955-01-01,3020.746,4.9,,14.39098687356367
1955-02-01,,4.7,,
1955-03-01,,4.6,,
1955-04-01,3069.91,4.7,,14.62520665856111
1955-05-01,,4.3,,
1955-06-01,,4.2,,
1955-07-01,3111.379,4.0,,14.82276707398823
1955-08-01,,4.2,,
1955-09-01,,4.1,,
1955-10-01,3130.068,4.3,,14.911802416145445
1955-11-01,,4.2,,
1955-12-01,,4.2,,
1956-01-01,3117.922,4.0,,14.853938257236916
1956-02-01,,3.9,,
1956-03-01,,4.2,,
1956-04-01,3143.694,4.0,,14.976717369981078
1956-05-01,,4.3,,
1956-06-01,,4.3,,
1956-07-01,3140.874,4.4,,14.963282747214565
1956-08-01,,4.1,,
1956-09-01,,3.9,,
1956-10-01,3192.57,3.9,,15.209565108398113
1956-11-01,,4.3,,
1956-12-01,,4.2,,
1957-01-01,3213.011,4.2,,15.306947067252816
1957-02-01,,3.9,,
1957-03-01,,3.7,,
1957-04-01,3205.97,3.9,,15.273403386792172
1957-05-01,,4.1,,
1957-06-01,,4.3,,
1957-07-01,3237.386,4.2,,15.423070801271868
1957-08-01,,4.1,,
1957-09-01,,4.4,,
1957-10-01,3203.894,4.5,,15.263513217691719
1957-11-01,,5.1,,
1957-12-01,,5.2,,
1958-01-01,3120.724,5.8,,14.867287127092151
1958-02-01,,6.4,,
1958-03-01,,6.7,,
1958-04-01,3141.224,7.4,,14.964950164933816
1958-05-01,,7.4,,
1958-06-01,,7.3,,
1958-07-01,3213.884,7.5,,15.311106083449683
1958-08-01,,7.4,,
1958-09-01,,7.1,,
1958-10-01,3289.032,6.7,,15.66911495992409
1958-11-01,,6.2,,
1958-12-01,,6.2,,
1959-01-01,3352.129,6.0,15.164,15.96971226229948
1959-02-01,,5.9,15.179,
1959-03-01,,5.6,15.189,
1959-04-01,3427.667,5.2,15.219,16.329579118518193
1959-05-01,,5.1,15.227,
1959-06-01,,5.0,15.271,
1959-07-01,3430.057,5.1,15.303,16.34096519951534
1959-08-01,,5.2,15.325,
1959-09-01,,5.5,15.365,
1959-10-01,3439.832,5.7,15.402,16.387533794388624
1959-11-01,,5.8,15.412,
1959-12-01,,5.3,15.43,
1960-01-01,3517.181,5.2,15.421,16.75602834629179
1960-02-01,,4.8,15.437,
1960-03-01,,5.4,15.446,
1960-04-01,3498.246,5.2,15.502,16.665821047680478
1960-05-01,,5.1,15.518,
1960-06-01,,5.4,15.525,
1960-07-01,3515.385,5.5,15.553,16.747472111366733
1960-08-01,,5.6,15.579,
1960-09-01,,5.5,15.588,
1960-10-01,3470.278,6.1,15.606,16.532580079760688
1960-11-01,,6.1,15.659,
1960-12-01,,6.6,15.662,
1961-01-01,3493.703,6.6,15.665,16.644177965684637
1961-02-01,,6.9,15.679,
1961-03-01,,6.9,15.67,
1961-04-01,3553.021,7.0,15.661,16.926771920742777
1961-05-01,,7.1,15.67,
1961-06-01,,6.9,15.677,
1961-07-01,3621.252,7.0,15.711,17.25182785903422
1961-08-01,,6.6,15.724,
1961-09-01,,6.7,15.742,
1961-10-01,3692.289,6.5,15.741,17.590251723383403
1961-11-01,,6.1,15.742,
1961-12-01,,6.0,15.746,
1962-01-01,3758.147,5.8,15.776,17.904002569538342
1962-02-01,,5.5,15.818,
1962-03-01,,5.6,15.839,
1962-04-01,3792.149,5.6,15.857,18.065989818937965
1962-05-01,,5.5,15.867,
1962-06-01,,5.5,15.877,
1962-07-01,3838.776,5.4,15.868,18.288123207496174
1962-08-01,,5.7,15.891,
1962-09-01,,5.6,15.969,
1962-10-01,3851.421,5.4,15.953,18.348364627667287
1962-11-01,,5.7,15.964,
1962-12-01,,5.5,15.958,
1963-01-01,3893.482,5.7,15.997,18.54874536106525
1963-02-01,,5.9,16.014,
1963-03-01,,5.7,16.001,
1963-04-01,3937.183,5.7,16.0,18.756939137490548
1963-05-01,,5.9,16.026,
1963-06-01,,5.6,16.061,
1963-07-01,4023.755,5.6,16.093,19.169372528321208
1963-08-01,,5.4,16.115,
1963-09-01,,5.5,16.112,
1963-10-01,4050.147,5.5,16.143,19.295105352453753
1963-11-01,,5.7,16.166,
1963-12-01,,5.5,16.19,
1964-01-01,4135.553,5.6,16.224,19.701983860254003
1964-02-01,,5.4,16.247,
1964-03-01,,5.4,16.257,
1964-04-01,4180.592,5.3,16.269,19.916551936417452
1964-05-01,,5.1,16.271,
1964-06-01,,5.2,16.294,
1964-07-01,4245.918,4.9,16.315,20.22776830763914
1964-08-01,,5.0,16.327,
1964-09-01,,5.1,16.352,
1964-10-01,4259.046,5.1,16.362,20.290310764262816
1964-11-01,,4.8,16.385,
1964-12-01,,5.0,16.409,
1965-01-01,4362.111,4.9,16.427,20.781317642075063
1965-02-01,,5.1,16.434,
1965-03-01,,4.7,16.455,
1965-04-01,4417.225,4.8,16.481,21.043883528299723
1965-05-01,,4.6,16.518,
1965-06-01,,4.6,16.566,
1965-07-01,4515.427,4.4,16.578,21.511722827915676
1965-08-01,,4.4,16.582,
1965-09-01,,4.3,16.59,
1965-10-01,4619.458,4.2,16.595,22.00733177863305
1965-11-01,,4.1,16.623,
1965-12-01,,4.0,16.683,
1966-01-01,4731.888,4.0,16.703,22.54295399056175
1966-02-01,,3.8,16.772,
1966-03-01,,3.8,16.813,
1966-04-01,4748.046,3.8,16.871,22.619931520583485
1966-05-01,,3.9,16.892,
1966-06-01,,3.8,16.934,
1966-07-01,4788.254,3.8,16.967,22.811484468170683
1966-08-01,,3.8,17.032,
1966-09-01,,3.7,17.086,
1966-10-01,4827.537,3.7,17.131,22.998630668928445
1966-11-01,,3.6,17.156,
1966-12-01,,3.8,17.192,
1967-01-01,4870.299,3.9,17.193,23.20235100181553
1967-02-01,,3.8,17.213,
