DATE,GDPC1,UNRATE,PCEPI,GDPI
1967-03-01,,3.8,17.222,
1967-04-01,4873.287,3.8,17.251,23.21658598508728
1967-05-01,,3.8,17.284,
1967-06-01,,3.9,17.339,
1967-07-01,4919.392,3.8,17.398,23.436232539218498
1967-08-01,,3.8,17.452,
1967-09-01,,3.8,17.505,
1967-10-01,4956.477,4.0,17.554,23.61290735669938
1967-11-01,,3.9,17.612,
1967-12-01,,3.8,17.64,
1968-01-01,5057.553,3.7,17.722,24.094438537815673
1968-02-01,,3.8,17.794,
1968-03-01,,3.7,17.852,
1968-04-01,5142.033,3.5,17.908,24.49690553473586
1968-05-01,,3.5,17.974,
1968-06-01,,3.7,18.032,
1968-07-01,5181.859,3.7,18.087,24.68663861498377
1968-08-01,,3.5,18.161,
1968-09-01,,3.4,18.224,
1968-10-01,5202.212,3.4,18.304,24.78360133738335
1968-11-01,,3.4,18.366,
1968-12-01,,3.4,18.404,
1969-01-01,5283.597,3.4,18.476,25.17132359761475
1969-02-01,,3.4,18.523,
1969-03-01,,3.4,18.61,
1969-04-01,5299.625,3.4,18.692,25.247681801055055
1969-05-01,,3.4,18.767,
1969-06-01,,3.5,18.858,
1969-07-01,5334.6,3.5,18.941,25.41430447171419
1969-08-01,,3.5,18.993,
1969-09-01,,3.7,19.072,
1969-10-01,5308.556,3.7,19.137,25.290229537199632
1969-11-01,,3.5,19.22,
1969-12-01,,3.5,19.308,
1970-01-01,5300.652,3.9,19.377,25.25257448104839
1970-02-01,,4.2,19.454,
1970-03-01,,4.4,19.502,
1970-04-01,5308.164,4.6,19.601,25.28836202935408
1970-05-01,,4.8,19.663,
1970-06-01,,4.9,19.714,
1970-07-01,5357.077,5.0,19.786,25.52138603764429
1970-08-01,,5.1,19.838,
1970-09-01,,5.4,19.927,
1970-10-01,5299.672,5.5,20.026,25.24790571143449
1970-11-01,,5.9,20.105,
1970-12-01,,6.1,20.194,
1971-01-01,5443.619,5.9,20.237,25.933676506956154
1971-02-01,,5.9,20.296,
1971-03-01,,6.0,20.363,
1971-04-01,5473.059,5.9,20.443,26.07393015739804
1971-05-01,,5.9,20.528,
1971-06-01,,5.9,20.619,
1971-07-01,5518.072,6.0,20.681,26.288374368245197
1971-08-01,,6.1,20.741,
1971-09-01,,6.0,20.772,
1971-10-01,5531.032,5.8,20.804,26.350116464363637
1971-11-01,,6.0,20.847,
1971-12-01,,6.0,20.929,
1972-01-01,5632.649,5.8,21.015,26.834224996868826
1972-02-01,,5.7,21.098,
1972-03-01,,5.8,21.128,
1972-04-01,5760.47,5.7,21.16,27.443170711988795
1972-05-01,,5.7,21.207,
1972-06-01,,5.7,21.239,
1972-07-01,5814.854,5.6,21.315,27.70225884125616
1972-08-01,,5.6,21.377,
1972-09-01,,5.5,21.473,
1972-10-01,5912.22,5.6,21.497,28.16611539454843
1972-11-01,,5.3,21.561,
1972-12-01,,5.2,21.63,
1973-01-01,6058.544,4.9,21.695,28.863210338409097
1973-02-01,,5.0,21.809,
1973-03-01,,4.9,21.964,
1973-04-01,6124.506,5.0,22.127,29.177456645829185
1973-05-01,,4.9,22.236,
1973-06-01,,4.9,22.363,
1973-07-01,6092.301,4.8,22.444,29.02403039540524
1973-08-01,,4.8,22.703,
1973-09-01,,4.8,22.793,
1973-10-01,6150.131,4.6,22.922,29.299535443131262
1973-11-01,,4.8,23.11,
1973-12-01,,4.9,23.3,
1974-01-01,6097.258,5.1,23.523,29.04764579436042
1974-02-01,,5.2,23.797,
1974-03-01,,5.1,24.073,
1974-04-01,6111.751,5.1,24.243,29.116691180089166
1974-05-01,,5.1,24.482,
1974-06-01,,5.4,24.69,
1974-07-01,6053.978,5.5,24.872,28.84145768324885
1974-08-01,,5.5,25.132,
1974-09-01,,5.9,25.393,
1974-10-01,6030.464,6.0,25.575,28.729435796819146
1974-11-01,,6.6,25.767,
1974-12-01,,7.2,25.971,
1975-01-01,5957.035,8.1,26.132,28.379616323371557
1975-02-01,,8.1,26.274,
1975-03-01,,8.6,26.363,
1975-04-01,5999.61,8.8,26.452,28.5824457787915
1975-05-01,,9.0,26.558,
1975-06-01,,8.8,26.724,
1975-07-01,6102.326,8.6,26.953,29.07179000293513
1975-08-01,,8.4,27.07,
1975-09-01,,8.4,27.204,
1975-10-01,6184.53,8.4,27.362,29.463414020629575
1975-11-01,,8.3,27.538,
1975-12-01,,8.2,27.69,
1976-01-01,6323.649,7.9,27.795,30.126183979726868
1976-02-01,,7.7,27.831,
1976-03-01,,7.6,27.873,
1976-04-01,6370.025,7.7,27.936,30.347121591577842
1976-05-01,,7.4,28.069,
1976-06-01,,7.6,28.192,
1976-07-01,6404.895,7.8,28.335,30.5132440369212
1976-08-01,,7.8,28.491,
1976-09-01,,7.6,28.651,
1976-10-01,6451.177,7.7,28.801,30.733733828013293
1976-11-01,,7.8,28.932,
1976-12-01,,7.8,29.094,
1977-01-01,6527.703,7.5,29.263,31.098307566250917
1977-02-01,,7.6,29.492,
1977-03-01,,7.4,29.64,
1977-04-01,6654.466,7.2,29.812,31.702212915808126
1977-05-01,,7.0,29.963,
1977-06-01,,7.2,30.131,
1977-07-01,6774.457,6.9,30.287,32.273856114523205
1977-08-01,,7.0,30.428,
1977-09-01,,6.8,30.543,
1977-10-01,6774.592,6.8,30.685,32.27449926135777
1977-11-01,,6.8,30.861,
1977-12-01,,6.4,31.011,
1978-01-01,6796.26,6.4,31.194,32.377726710331096
1978-02-01,,6.3,31.339,
1978-03-01,,6.3,31.542,
1978-04-01,7058.92,6.1,31.781,33.629052247867264
1978-05-01,,6.0,32.008,
1978-06-01,,5.9,32.217,
1978-07-01,7129.915,6.2,32.393,33.96727602209014
1978-08-01,,5.9,32.557,
1978-09-01,,6.0,32.742,
1978-10-01,7225.75,5.8,33.003,34.42383881387335
1978-11-01,,5.9,33.19,
1978-12-01,,6.0,33.345,
1979-01-01,7238.727,5.9,33.597,34.485661898852435
1979-02-01,,5.9,33.776,
1979-03-01,,5.8,34.04,
1979-04-01,7246.454,5.8,34.395,34.522473718042804
1979-05-01,,5.6,34.751,
1979-06-01,,5.7,35.038,
1979-07-01,7300.281,5.7,35.305,34.778908271111256
1979-08-01,,6.0,35.575,
1979-09-01,,5.9,35.889,
1979-10-01,7318.535,6.0,36.182,34.86587125124598
1979-11-01,,5.9,36.433,
1979-12-01,,6.0,36.739,
1980-01-01,7341.557,6.3,37.124,34.97554922476748
1980-02-01,,6.3,37.526,
1980-03-01,,6.3,37.987,
1980-04-01,7190.289,6.9,38.185,34.254900814609776
1980-05-01,,7.5,38.482,
1980-06-01,,7.6,38.725,
1980-07-01,7181.743,7.8,39.026,34.214187237956374
1980-08-01,,7.7,39.351,
1980-09-01,,7.5,39.715,
1980-10-01,7315.677,7.5,40.033,34.85225559455566
1980-11-01,,7.5,40.359,
1980-12-01,,7.2,40.621,
1981-01-01,7459.022,7.5,41.011,35.53515843160021
1981-02-01,,7.4,41.426,
1981-03-01,,7.4,41.715,
1981-04-01,7403.745,7.2,41.897,35.27181600512345
1981-05-01,,7.5,42.085,
1981-06-01,,7.5,42.253,
1981-07-01,7492.405,7.2,42.508,35.694196733662075
1981-08-01,,7.4,42.774,
1981-09-01,,7.6,43.033,
1981-10-01,7410.768,7.9,43.228,35.30527393267281
1981-11-01,,8.3,43.46,
1981-12-01,,8.5,43.594,
1982-01-01,7295.631,8.6,43.853,34.756755435698395
1982-02-01,,8.9,43.985,
1982-03-01,,9.0,44.098,
1982-04-01,7328.912,9.3,44.12,34.91530780459636
1982-05-01,,9.4,44.382,
1982-06-01,,9.6,44.704,
1982-07-01,7300.896,9.8,44.969,34.7818381622465
1982-08-01,,9.8,45.108,
1982-09-01,,10.1,45.233,
1982-10-01,7303.817,10.4,45.487,34.79575395412629
1982-11-01,,10.8,45.624,
1982-12-01,,10.8,45.693,
1983-01-01,7400.066,10.4,45.906,35.254289062868835
1983-02-01,,10.4,45.984,
1983-03-01,,10.3,46.043,
1983-04-01,7568.456,10.2,46.253,36.05650754785215
1983-05-01,,10.1,46.384,
1983-06-01,,10.1,46.557,
1983-07-01,7719.746,9.4,46.82,36.77726076712363
1983-08-01,,9.5,47.02,
1983-09-01,,9.2,47.185,
1983-10-01,7880.794,8.8,47.265,37.54450159240774
1983-11-01,,8.5,47.332,
1983-12-01,,8.3,47.358,
1984-01-01,8034.847,8.0,47.564,38.278417883560024
1984-02-01,,7.8,47.884,
1984-03-01,,7.8,48.041,
1984-04-01,8173.67,7.7,48.224,38.93977768367189
1984-05-01,,7.4,48.285,
1984-06-01,,7.2,48.371,
1984-07-01,8252.465,7.5,48.544,39.315161052780866
1984-08-01,,7.5,48.693,
1984-09-01,,7.3,48.759,
1984-10-01,8320.199,7.4,48.874,39.63784925791098
1984-11-01,,7.2,48.943,
1984-12-01,,7.3,49.081,
1985-01-01,8400.82,7.3,49.326,40.02193178346379
1985-02-01,,7.2,49.555,
1985-03-01,,7.2,49.749,
1985-04-01,8474.787,7.3,49.821,40.3743143161484
1985-05-01,,7.2,49.939,
1985-06-01,,7.4,50.075,
1985-07-01,8604.22,7.4,50.198,40.99093968087816
1985-08-01,,7.1,50.364,
1985-09-01,,7.1,50.449,
1985-10-01,8668.188,7.1,50.533,41.295686471349164
1985-11-01,,7.0,50.68,
1985-12-01,,7.0,50.85,
1986-01-01,8749.127,6.7,51.084,41.681283965001185
1986-02-01,,7.2,51.084,
1986-03-01,,7.2,50.972,
1986-04-01,8788.524,7.1,50.868,41.86897326753036
1986-05-01,,7.2,50.961,
1986-06-01,,7.2,51.151,
1986-07-01,8872.601,7.0,51.164,42.2695203520481
1986-08-01,,6.9,51.228,
1986-09-01,,7.0,51.396,
1986-10-01,8920.193,7.0,51.488,42.496251049460795
1986-11-01,,6.9,51.58,
1986-12-01,,6.6,51.651,
1987-01-01,8986.367,6.6,51.894,42.81150733561369
1987-02-01,,6.6,52.076,
1987-03-01,,6.6,52.214,
1987-04-01,9083.256,6.3,52.409,43.27309143675715
1987-05-01,,6.3,52.542,
1987-06-01,,6.2,52.741,
1987-07-01,9162.024,6.1,52.863,43.64834617649921
1987-08-01,,6.0,53.072,
1987-09-01,,5.9,53.251,
1987-10-01,9319.332,6.0,53.42,44.39776945244051
1987-11-01,,5.8,53.521,
1987-12-01,,5.7,53.62,
1988-01-01,9367.502,5.7,53.828,44.627253771115285
1988-02-01,,5.7,53.908,
1988-03-01,,5.7,54.093,
1988-04-01,9490.594,5.4,54.356,45.2136702908229
1988-05-01,,5.6,54.514,
1988-06-01,,5.4,54.746,
1988-07-01,9546.206,5.4,55.012,45.47860867425951
1988-08-01,,5.6,55.175,
1988-09-01,,5.4,55.444,
1988-10-01,9673.405,5.4,55.625,46.084591149889846
1988-11-01,,5.3,55.754,
1988-12-01,,5.3,55.928,
1989-01-01,9771.725,5.4,56.215,46.55299260747972
1989-02-01,,5.2,56.402,
1989-03-01,,5.0,56.612,
1989-04-01,9846.293,5.2,56.989,46.9082383345908
1989-05-01,,5.2,57.197,
1989-06-01,,5.3,57.322,
1989-07-01,9919.228,5.2,57.459,47.25570436702893
1989-08-01,,5.2,57.466,
1989-09-01,,5.3,57.594,
1989-10-01,9938.767,5.3,57.819,47.34878915221861
1989-11-01,,5.4,57.945,
1989-12-01,,5.4,58.113,
1990-01-01,10047.386,5.4,58.553,47.86625556721001
1990-02-01,,5.3,58.811,
1990-03-01,,5.2,59.033,
1990-04-01,10083.855,5.4,59.157,48.039995729505016
1990-05-01,,5.4,59.29,
1990-06-01,,5.2,59.552,
1990-07-01,10090.569,5.5,59.699,48.071981565410816
1990-08-01,,5.7,60.096,
1990-09-01,,5.9,60.465,
1990-10-01,9998.704,5.9,60.811,47.634332054614504
1990-11-01,,6.2,60.888,
1990-12-01,,6.3,60.945,
1991-01-01,9951.916,6.4,61.177,47.41143165390544
1991-02-01,,6.6,61.208,
1991-03-01,,6.8,61.221,
1991-04-01,10029.51,6.7,61.332,47.78109339821208
1991-05-01,,6.9,61.586,
1991-06-01,,6.9,61.69,
1991-07-01,10080.195,6.8,61.787,48.02255930421231
1991-08-01,,6.9,61.931,
1991-09-01,,6.9,62.144,
1991-10-01,10115.329,7.0,62.26,48.18993945892104
1991-11-01,,7.0,62.397,
1991-12-01,,7.3,62.553,
1992-01-01,10236.435,7.3,62.638,48.76689457408458
1992-02-01,,7.4,62.797,
1992-03-01,,7.4,62.949,
1992-04-01,10347.429,7.4,63.119,49.29567560931374
1992-05-01,,7.6,63.203,
1992-06-01,,7.8,63.315,
1992-07-01,10449.673,7.7,63.524,49.782771201561694
1992-08-01,,7.6,63.609,
1992-09-01,,7.6,63.713,
1992-10-01,10558.648,7.3,63.938,50.301933618576086
1992-11-01,,7.4,64.064,
1992-12-01,,7.4,64.176,
1993-01-01,10576.275,7.3,64.332,50.38590953896804
1993-02-01,,7.1,64.429,
1993-03-01,,7.0,64.561,
1993-04-01,10637.847,7.1,64.733,50.67924166413814
1993-05-01,,7.1,64.933,
1993-06-01,,7.0,64.955,
1993-07-01,10688.606,6.9,65.059,50.92106010988473
1993-08-01,,6.8,65.17,
1993-09-01,,6.7,65.238,
1993-10-01,10833.987,6.8,65.443,51.61366255400468
1993-11-01,,6.6,65.567,
1993-12-01,,6.5,65.582,
1994-01-01,10939.116,6.6,65.604,52.11450243230986
1994-02-01,,6.6,65.756,
1994-03-01,,6.5,65.937,
1994-04-01,11087.361,6.4,66.015,52.820749117423894
1994-05-01,,6.1,66.111,
1994-06-01,,6.1,66.272,
1994-07-01,11152.176,6.1,66.481,53.12953105877547
1994-08-01,,6.0,66.634,
1994-09-01,,5.9,66.708,
1994-10-01,11279.932,5.8,66.821,53.73816711060473
1994-11-01,,5.6,66.948,
1994-12-01,,5.5,66.991,
1995-01-01,11319.951,5.6,67.127,53.92881965262353
1995-02-01,,5.4,67.246,
1995-03-01,,5.4,67.37,
1995-04-01,11353.721,5.8,67.547,54.089701642277824
1995-05-01,,5.6,67.651,
1995-06-01,,5.6,67.717,
1995-07-01,11450.31,5.7,67.802,54.549856528233356
1995-08-01,,5.7,67.948,
1995-09-01,,5.6,67.995,
1995-10-01,11528.067,5.5,68.171,54.9202948127921
1995-11-01,,5.6,68.169,
1995-12-01,,5.6,68.3,
1996-01-01,11614.418,5.6,68.452,55.33167534843432
1996-02-01,,5.5,68.56,
1996-03-01,,5.5,68.767,
1996-04-01,11808.14,5.6,68.973,56.25457676388616
1996-05-01,,5.6,69.092,
1996-06-01,,5.3,69.091,
1996-07-01,11914.063,5.5,69.237,56.75919929838873
1996-08-01,,5.1,69.303,
1996-09-01,,5.2,69.499,
1996-10-01,12037.775,5.2,69.709,57.34856952948473
1996-11-01,,5.4,69.833,
1996-12-01,,5.4,69.914,
1997-01-01,12115.472,5.3,70.005,57.71872197100589
1997-02-01,,5.2,70.151,
1997-03-01,,5.2,70.225,
1997-04-01,12317.221,5.1,70.294,58.679864420836026
1997-05-01,,4.9,70.262,
1997-06-01,,5.0,70.352,
1997-07-01,12471.01,4.9,70.394,59.41252300262294
1997-08-01,,4.8,70.45,
1997-09-01,,4.9,70.62,
1997-10-01,12577.495,4.7,70.712,59.919822933577564
1997-11-01,,4.6,70.716,
1997-12-01,,4.7,70.701,
1998-01-01,12703.742,4.6,70.736,60.52127003301153
1998-02-01,,4.6,70.699,
1998-03-01,,4.7,70.71,
1998-04-01,12821.339,4.3,70.798,61.08150809452696
1998-05-01,,4.4,70.895,
1998-06-01,,4.5,70.835,
1998-07-01,12982.752,4.5,71.01,61.85048779828971
1998-08-01,,4.5,71.108,
1998-09-01,,4.6,71.067,
1998-10-01,13191.67,4.5,71.223,62.84578372706068
1998-11-01,,4.4,71.226,
1998-12-01,,4.4,71.298,
1999-01-01,13315.597,4.3,71.398,63.43617822904135
1999-02-01,,4.4,71.358,
1999-03-01,,4.2,71.412,
1999-04-01,13426.748,4.3,71.757,63.96570722021886
1999-05-01,,4.2,71.804,
1999-06-01,,4.3,71.826,
1999-07-01,13604.771,4.3,72.017,64.8138178048865
1999-08-01,,4.2,72.148,
1999-09-01,,4.2,72.407,
1999-10-01,13827.98,4.1,72.529,65.87719678115967
1999-11-01,,4.1,72.594,
1999-12-01,,4.0,72.763,
2000-01-01,13878.147,4.0,72.961,66.11619490893541
2000-02-01,,4.1,73.191,
2000-03-01,,4.0,73.505,
2000-04-01,14130.908,3.8,73.444,67.32036110932061
2000-05-01,,4.0,73.505,
2000-06-01,,4.0,73.754,
2000-07-01,14145.312,4.0,73.939,67.38898249454361
2000-08-01,,4.1,73.934,
2000-09-01,,3.9,74.252,
2000-10-01,14229.765,3.9,74.353,67.79132086209688
2000-11-01,,3.9,74.457,
2000-12-01,,3.9,74.571,
2001-01-01,14183.12,4.2,74.932,67.5691017206274
2001-02-01,,4.2,75.048,
2001-03-01,,4.3,75.055,
2001-04-01,14271.694,4.4,75.187,67.99107274081216
2001-05-01,,4.3,75.385,
2001-06-01,,4.5,75.518,
2001-07-01,14214.516,4.6,75.493,67.71867385409456
2001-08-01,,4.9,75.484,
2001-09-01,,5.0,75.227,
2001-10-01,14253.574,5.3,75.492,67.90474814346138
2001-11-01,,5.5,75.441,
2001-12-01,,5.7,75.363,
2002-01-01,14372.785,5.7,75.431,68.47267538268784
2002-02-01,,5.7,75.558,
2002-03-01,,5.7,75.763,
2002-04-01,14460.848,5.9,76.08,68.8922119730025
2002-05-01,,5.8,76.13,
2002-06-01,,5.8,76.225,
2002-07-01,14519.633,5.8,76.393,69.17226668907675
2002-08-01,,5.7,76.543,
2002-09-01,,5.7,76.681,
2002-10-01,14537.58,5.7,76.821,69.25776710566916
2002-11-01,,5.9,76.897,
2002-12-01,,6.0,76.971,
2003-01-01,14614.141,5.8,77.201,69.6225075856787
2003-02-01,,5.9,77.526,
2003-03-01,,5.9,77.725,
2003-04-01,14743.567,6.0,77.593,70.23909960205408
2003-05-01,,6.1,77.504,
2003-06-01,,6.3,77.588,
2003-07-01,14988.782,6.2,77.816,71.4073162764123
2003-08-01,,6.1,78.079,
2003-09-01,,6.1,78.323,
2003-10-01,15162.76,6.0,78.333,72.23615627629607
2003-11-01,,5.8,78.432,
2003-12-01,,5.7,78.605,
2004-01-01,15248.68,5.7,78.909,72.6454835061183
2004-02-01,,5.6,79.077,
2004-03-01,,5.8,79.199,
2004-04-01,15366.85,5.6,79.346,73.20845136864267
2004-05-01,,5.6,79.604,
2004-06-01,,5.6,79.831,
2004-07-01,15512.619,5.5,79.905,73.90290226440567
2004-08-01,,5.4,79.946,
2004-09-01,,5.4,80.104,
2004-10-01,15670.88,5.5,80.448,74.65686568059394
2004-11-01,,5.4,80.758,
2004-12-01,,5.4,80.801,
2005-01-01,15844.727,5.3,80.907,75.48508158984563
2005-02-01,,5.4,81.132,
2005-03-01,,5.2,81.375,
2005-04-01,15922.782,5.2,81.603,75.85693956149105
2005-05-01,,5.1,81.649,
