DATE,GDPC1,UNRATE,PCEPI
2021-01-01,20990.541,6.2,0.020710765438817075
2021-04-01,21309.544,5.933333333333334,0.040841243662124306
2021-07-01,21483.083,5.133333333333334,0.046611381898818895
2021-10-01,21847.602,4.2,0.05857716978281924
2022-01-01,21738.871,3.8000000000000003,0.06578998468856856
2022-04-01,21708.16,3.6,0.06808887032703541
2022-07-01,21851.134,3.5666666666666664,0.06562814608471175
2022-10-01,21989.981,3.6,0.059061324858716256
2023-01-01,22112.329,3.5,0.050369892488051494
2023-04-01,22225.35,3.5666666666666664,0.03868955050262065
2023-07-01,22506.365,3.6999999999999997,0.03400141871360277
