DATE,A576RC1,A041RC1,A048RC1,PIROA
1963-07-01,315.1,55.9,18.8,56.9
1963-08-01,316.7,56.2,18.8,57.2
1963-09-01,318.8,56.6,18.8,57.7
1963-10-01,320.8,57.4,18.8,58.2
1963-11-01,321.6,57.5,18.8,58.8
1963-12-01,324.3,57.9,18.8,59.7
1964-01-01,324.9,57.7,18.8,60.1
1964-02-01,329.0,57.9,18.8,60.7
1964-03-01,330.7,58.1,18.8,61.2
1964-04-01,332.9,58.7,18.8,61.7
1964-05-01,334.9,58.8,18.8,62.4
1964-06-01,336.7,58.9,18.8,63.1
1964-07-01,339.1,58.9,18.9,63.6
1964-08-01,341.7,59.2,18.9,63.9
1964-09-01,343.4,59.7,18.9,64.5
1964-10-01,343.3,59.9,18.8,64.8
1964-11-01,346.5,60.5,18.8,65.4
1964-12-01,350.3,61.2,18.8,66.2
1965-01-01,350.9,61.5,19.1,66.4
1965-02-01,352.8,61.9,19.1,66.9
1965-03-01,354.7,62.5,19.1,67.3
1965-04-01,356.2,62.8,19.3,68.0
1965-05-01,359.5,63.2,19.3,68.6
1965-06-01,361.0,63.5,19.3,69.6
1965-07-01,363.7,63.9,19.5,70.0
1965-08-01,366.1,63.8,19.5,70.4
1965-09-01,368.8,64.1,19.5,71.0
1965-10-01,373.9,64.7,19.5,71.3
1965-11-01,377.1,65.6,19.5,71.8
1965-12-01,380.3,66.4,19.5,72.4
1966-01-01,382.1,68.6,19.8,72.9
1966-02-01,386.0,69.2,19.8,73.3
1966-03-01,389.2,69.9,19.8,73.6
1966-04-01,392.7,67.6,19.8,74.0
1966-05-01,395.5,66.9,19.8,74.4
1966-06-01,399.5,67.0,19.8,74.8
1966-07-01,403.4,66.9,20.0,74.9
1966-08-01,406.4,67.2,20.0,75.4
1966-09-01,408.7,67.4,20.0,76.1
1966-10-01,411.7,67.7,20.0,76.8
1966-11-01,413.7,68.2,20.0,77.4
1966-12-01,415.1,68.5,20.0,76.0
1967-01-01,418.2,69.1,20.3,78.2
1967-02-01,418.3,68.8,20.3,78.9
1967-03-01,420.1,68.8,20.3,79.6
1967-04-01,421.8,68.1,20.4,80.1
1967-05-01,422.7,68.5,20.4,80.6
1967-06-01,426.3,69.0,20.4,80.8
1967-07-01,429.1,70.1,20.4,81.4
1967-08-01,432.5,70.6,20.4,82.0
1967-09-01,434.4,70.8,20.4,82.3
1967-10-01,436.6,69.9,20.3,82.9
1967-11-01,442.0,69.9,20.3,83.3
1967-12-01,446.1,70.2,20.3,81.6
1968-01-01,448.9,71.0,20.1,84.4
1968-02-01,455.2,71.6,20.1,85.0
1968-03-01,458.6,72.5,20.1,85.8
1968-04-01,461.4,72.6,20.1,86.8
1968-05-01,466.2,73.2,20.1,87.7
1968-06-01,470.1,73.7,20.1,88.4
1968-07-01,474.5,74.5,20.2,89.1
1968-08-01,478.1,75.0,20.2,90.0
1968-09-01,482.4,75.4,20.2,90.9
1968-10-01,485.6,75.5,20.0,91.7
1968-11-01,489.9,75.4,20.0,92.8
1968-12-01,492.8,75.6,20.0,93.6
1969-01-01,495.3,75.2,20.2,95.2
1969-02-01,498.2,75.7,20.2,96.2
1969-03-01,503.7,75.9,20.2,97.2
1969-04-01,507.0,76.7,20.3,97.7
1969-05-01,511.3,77.2,20.3,98.5
1969-06-01,515.9,77.5,20.3,99.8
1969-07-01,522.0,77.6,20.4,100.4
1969-08-01,526.8,78.2,20.4,101.4
1969-09-01,530.5,78.1,20.4,102.7
1969-10-01,533.4,77.5,20.4,103.9
1969-11-01,536.4,77.1,20.4,105.0
1969-12-01,539.6,77.3,20.4,106.2
1970-01-01,542.0,77.0,20.4,108.2
1970-02-01,544.8,77.3,20.4,109.1
1970-03-01,548.5,77.0,20.4,110.3
1970-04-01,546.7,76.6,20.2,111.6
1970-05-01,548.7,76.9,20.2,113.1
1970-06-01,551.8,76.6,20.2,114.4
1970-07-01,554.9,78.0,20.9,116.3
1970-08-01,556.6,78.4,20.9,117.5
1970-09-01,555.7,79.0,20.9,118.7
1970-10-01,554.0,78.6,21.2,119.4
1970-11-01,555.1,78.9,21.2,120.3
1970-12-01,560.0,79.3,21.2,120.3
1971-01-01,567.7,80.2,21.1,122.4
1971-02-01,570.4,79.8,21.1,122.8
1971-03-01,573.4,81.0,21.1,123.1
1971-04-01,576.4,82.1,21.7,123.6
1971-05-01,581.5,82.9,21.7,124.2
1971-06-01,583.5,83.6,21.7,124.8
1971-07-01,585.1,84.0,22.0,125.5
1971-08-01,589.1,84.5,22.0,126.1
1971-09-01,592.2,85.2,22.0,126.6
1971-10-01,593.8,87.0,22.5,127.1
1971-11-01,596.5,88.2,22.5,127.9
1971-12-01,605.0,88.5,22.5,127.2
1972-01-01,612.0,87.8,23.1,130.1
1972-02-01,619.4,87.4,23.1,131.0
1972-03-01,624.0,88.5,23.1,131.8
1972-04-01,627.0,91.3,20.2,132.8
1972-05-01,630.0,92.2,20.2,134.2
1972-06-01,634.1,90.5,20.2,135.4
1972-07-01,636.0,93.0,23.9,137.1
1972-08-01,642.5,96.1,23.9,138.5
1972-09-01,648.4,97.4,23.9,139.7
1972-10-01,658.1,103.2,23.8,141.4
1972-11-01,663.5,106.5,23.8,142.8
1972-12-01,670.2,107.2,23.8,144.3
1973-01-01,676.1,104.4,23.5,145.0
1973-02-01,684.3,103.8,23.5,146.6
1973-03-01,689.6,104.2,23.5,148.3
1973-04-01,695.1,107.8,23.3,149.8
1973-05-01,699.8,110.1,23.3,151.5
1973-06-01,705.6,111.9,23.3,153.6
1973-07-01,711.7,111.9,22.3,156.5
1973-08-01,715.1,113.7,22.3,158.9
1973-09-01,721.8,115.7,22.3,160.8
1973-10-01,728.5,121.8,23.3,162.4
1973-11-01,736.6,123.0,23.3,164.3
1973-12-01,740.9,121.8,23.3,167.0
1974-01-01,743.8,117.3,23.5,168.3
1974-02-01,748.5,115.8,23.5,170.3
1974-03-01,752.2,114.1,23.5,172.7
1974-04-01,756.7,109.5,22.9,175.3
1974-05-01,766.1,108.8,22.9,177.7
1974-06-01,773.1,107.6,22.9,180.0
1974-07-01,776.9,110.2,23.3,181.8
1974-08-01,783.0,111.1,23.3,183.8
1974-09-01,789.4,111.7,23.3,186.1
1974-10-01,795.5,113.0,23.0,188.4
1974-11-01,790.7,113.4,23.0,190.5
1974-12-01,791.4,114.0,23.0,192.3
1975-01-01,792.5,113.6,22.7,194.9
1975-02-01,790.3,113.1,22.7,196.5
1975-03-01,792.9,111.5,22.7,197.8
1975-04-01,793.3,112.8,22.4,197.6
1975-05-01,800.8,114.3,22.4,198.5
1975-06-01,806.9,115.9,22.4,199.5
1975-07-01,811.2,119.2,22.2,201.1
1975-08-01,823.6,120.5,22.2,202.4
1975-09-01,829.1,122.4,22.2,204.0
1975-10-01,837.9,124.3,21.9,205.7
1975-11-01,846.2,125.3,21.9,207.0
1975-12-01,853.2,126.0,21.9,206.7
1976-01-01,865.1,125.3,21.9,208.7
1976-02-01,872.0,126.4,21.7,210.8
1976-03-01,876.6,127.6,21.3,212.1
1976-04-01,883.5,127.9,20.8,214.9
1976-05-01,890.9,128.3,20.4,217.2
1976-06-01,893.8,129.7,20.2,219.0
1976-07-01,900.6,131.6,20.1,220.9
1976-08-01,909.6,132.4,20.0,222.8
1976-09-01,915.1,134.0,19.9,224.6
1976-10-01,920.5,133.7,19.7,226.6
1976-11-01,931.0,137.1,19.2,229.4
1976-12-01,938.4,137.8,18.4,233.0
1977-01-01,939.3,138.2,17.1,235.4
1977-02-01,950.8,138.5,16.3,239.2
1977-03-01,960.1,139.1,15.9,241.8
1977-04-01,969.8,140.6,16.3,244.6
1977-05-01,981.7,141.0,16.4,246.0
1977-06-01,991.2,140.0,16.3,249.1
1977-07-01,999.7,140.9,15.9,252.3
1977-08-01,1005.6,142.0,15.6,255.4
1977-09-01,1017.2,144.1,15.3,258.6
1977-10-01,1030.7,150.6,15.0,262.4
1977-11-01,1038.5,157.1,15.0,265.5
1977-12-01,1045.3,161.8,15.3,268.5
1978-01-01,1051.4,157.0,15.8,270.7
1978-02-01,1062.2,158.5,16.0,273.3
1978-03-01,1077.9,160.0,15.9,276.0
1978-04-01,1096.3,164.3,15.5,278.6
1978-05-01,1103.9,165.8,15.5,281.1
1978-06-01,1118.0,168.2,15.9,284.1
1978-07-01,1128.6,166.7,16.7,286.5
1978-08-01,1137.0,169.7,17.2,289.8
1978-09-01,1148.4,168.6,17.5,292.9
1978-10-01,1163.7,170.9,17.5,295.9
1978-11-01,1173.7,169.3,17.5,298.8
1978-12-01,1185.8,172.6,17.6,302.0
1979-01-01,1196.3,176.4,17.6,305.4
1979-02-01,1207.5,181.0,17.4,308.9
1979-03-01,1222.0,182.8,16.8,312.1
1979-04-01,1222.4,180.2,16.1,315.0
1979-05-01,1233.2,178.9,15.5,318.8
1979-06-01,1247.5,178.4,15.3,322.6
1979-07-01,1259.5,179.4,15.2,325.2
1979-08-01,1268.4,181.9,15.3,330.0
1979-09-01,1280.3,180.9,15.6,335.9
1979-10-01,1288.3,179.2,16.0,343.0
1979-11-01,1300.5,177.7,16.2,350.3
1979-12-01,1313.9,176.5,16.1,358.0
1980-01-01,1321.4,173.0,15.7,371.2
1980-02-01,1333.2,167.2,15.6,377.6
1980-03-01,1346.8,162.5,16.0,383.8
1980-04-01,1351.4,158.5,16.6,387.0
1980-05-01,1351.0,159.9,17.0,391.4
1980-06-01,1359.2,162.5,17.7,395.2
1980-07-01,1361.7,170.4,18.5,392.4
1980-08-01,1378.5,172.4,19.8,396.5
1980-09-01,1391.7,177.4,21.3,402.2
1980-10-01,1411.9,183.7,22.6,415.0
1980-11-01,1430.8,184.4,23.2,422.0
1980-12-01,1443.5,186.9,23.6,428.7
1981-01-01,1458.3,188.5,24.0,432.5
1981-02-01,1466.3,187.6,24.0,440.2
1981-03-01,1478.4,188.5,23.9,448.8
1981-04-01,1487.7,177.6,23.6,458.0
1981-05-01,1495.2,176.1,23.3,468.7
1981-06-01,1507.2,175.5,23.1,480.2
1981-07-01,1518.4,183.0,22.8,499.4
1981-08-01,1534.4,183.1,23.0,508.9
1981-09-01,1538.9,180.7,23.5,517.3
1981-10-01,1546.4,172.6,24.4,518.7
1981-11-01,1553.1,172.0,24.9,525.4
1981-12-01,1552.2,171.0,24.9,531.9
1982-01-01,1561.0,165.3,24.4,538.7
1982-02-01,1570.2,166.5,23.7,544.2
1982-03-01,1571.4,163.8,22.6,549.5
1982-04-01,1572.2,170.2,21.1,557.3
1982-05-01,1584.8,169.1,20.7,560.4
1982-06-01,1588.2,169.0,21.4,562.1
1982-07-01,1593.7,168.3,23.1,559.9
1982-08-01,1599.1,171.7,24.5,560.8
1982-09-01,1596.5,172.1,25.5,561.7
1982-10-01,1599.0,176.7,26.1,561.1
1982-11-01,1602.1,178.7,26.4,563.0
1982-12-01,1612.0,183.0,26.4,565.5
1983-01-01,1621.8,181.8,26.1,570.9
1983-02-01,1617.3,185.1,25.8,574.3
1983-03-01,1628.2,182.9,25.4,577.9
1983-04-01,1640.4,184.8,25.1,578.7
1983-05-01,1655.5,182.8,24.8,584.2
1983-06-01,1668.2,180.3,24.4,590.4
1983-07-01,1683.9,182.9,24.0,601.8
1983-08-01,1686.6,180.3,23.7,609.2
1983-09-01,1703.7,188.1,23.5,616.5
1983-10-01,1732.1,188.5,23.5,623.9
1983-11-01,1738.9,195.7,23.5,630.4
1983-12-01,1753.6,201.8,23.5,636.4
1984-01-01,1771.7,206.3,23.6,638.2
1984-02-01,1783.8,226.7,23.3,644.8
1984-03-01,1796.5,232.8,22.7,653.7
1984-04-01,1818.9,233.0,21.8,662.7
1984-05-01,1823.5,230.4,21.5,671.6
1984-06-01,1842.0,231.9,21.9,680.0
1984-07-01,1856.7,225.0,22.8,689.3
1984-08-01,1863.6,235.6,24.3,698.0
1984-09-01,1880.9,236.5,26.2,708.1
1984-10-01,1883.8,224.6,28.6,707.3
1984-11-01,1900.2,226.7,29.7,707.2
1984-12-01,1917.5,229.5,29.5,708.6
1985-01-01,1919.2,238.9,28.0,714.3
1985-02-01,1927.9,241.7,26.8,718.5
1985-03-01,1949.3,241.4,25.9,723.1
1985-04-01,1948.7,238.5,25.2,722.9
1985-05-01,1961.7,238.3,25.1,723.9
1985-06-01,1980.4,238.7,25.6,724.4
1985-07-01,1982.3,241.3,26.7,723.2
1985-08-01,1996.8,240.7,27.2,723.2
1985-09-01,2013.1,240.1,27.2,726.0
1985-10-01,2024.4,244.7,26.6,730.9
1985-11-01,2031.6,244.4,25.7,737.5
1985-12-01,2055.1,243.8,24.4,747.6
1986-01-01,2052.8,245.1,22.8,755.1
1986-02-01,2061.1,245.1,21.8,763.1
1986-03-01,2076.6,246.7,21.5,768.8
1986-04-01,2072.9,250.6,21.8,770.5
1986-05-01,2080.8,251.0,21.3,769.9
1986-06-01,2091.6,253.3,20.1,770.3
1986-07-01,2099.6,258.5,18.2,770.4
1986-08-01,2113.2,263.8,16.5,770.2
1986-09-01,2121.6,270.9,15.0,770.3
1986-10-01,2140.4,261.3,13.7,769.7
1986-11-01,2155.5,261.0,13.1,769.1
1986-12-01,2161.7,270.4,13.3,770.5
1987-01-01,2175.1,272.3,14.3,770.0
1987-02-01,2193.4,276.5,14.7,770.6
1987-03-01,2209.5,277.5,14.5,772.6
1987-04-01,2215.2,278.8,13.8,776.8
1987-05-01,2232.9,282.9,13.9,781.8
1987-06-01,2241.6,285.2,14.7,784.4
1987-07-01,2251.0,287.3,16.2,791.1
1987-08-01,2277.9,289.5,17.5,797.0
1987-09-01,2283.5,291.7,18.7,802.6
1987-10-01,2309.0,294.2,19.7,809.4
1987-11-01,2325.5,296.8,20.4,815.3
1987-12-01,2360.7,305.0,20.8,821.5
1988-01-01,2349.4,316.5,21.1,824.4
1988-02-01,2367.3,320.2,21.1,824.2
1988-03-01,2381.9,320.8,21.0,823.3
1988-04-01,2407.5,323.9,20.6,827.8
1988-05-01,2419.2,319.8,20.3,833.2
1988-06-01,2437.9,323.8,20.0,840.1
1988-07-01,2456.5,331.0,19.7,850.3
1988-08-01,2457.8,336.3,20.8,861.0
1988-09-01,2474.3,333.5,23.1,870.4
1988-10-01,2505.1,325.7,26.7,878.8
1988-11-01,2502.9,323.0,28.1,887.4
1988-12-01,2517.7,331.8,27.5,896.3
1989-01-01,2536.5,343.2,24.7,916.6
1989-02-01,2535.4,350.6,22.8,934.4
1989-03-01,2550.5,350.5,21.8,949.8
1989-04-01,2566.3,342.2,21.6,955.0
1989-05-01,2555.9,339.1,21.2,961.3
1989-06-01,2568.2,337.3,20.7,968.1
1989-07-01,2589.4,335.0,19.9,972.3
1989-08-01,2586.4,338.8,19.8,975.6
1989-09-01,2600.9,337.7,20.4,978.9
1989-10-01,2631.4,338.5,20.9,982.7
1989-11-01,2631.8,340.0,22.0,987.1
1989-12-01,2643.8,340.7,22.7,990.0
1990-01-01,2658.7,347.4,22.7,997.1
1990-02-01,2687.2,345.5,23.0,1000.2
1990-03-01,2707.4,343.9,23.7,1001.2
1990-04-01,2731.9,349.3,24.9,1002.7
1990-05-01,2732.9,351.5,26.6,1001.3
1990-06-01,2751.6,352.6,28.5,1005.4
1990-07-01,2769.3,356.4,30.7,1008.4
1990-08-01,2760.2,359.7,31.9,1010.8
1990-09-01,2778.5,360.7,32.2,1010.8
1990-10-01,2763.1,357.0,31.4,1009.1
1990-11-01,2766.3,357.7,31.1,1007.6
1990-12-01,2787.3,356.2,31.4,1009.4
1991-01-01,2771.3,346.4,32.2,1006.3
1991-02-01,2769.7,347.8,33.0,1004.9
1991-03-01,2774.2,348.2,33.8,1000.4
1991-04-01,2782.6,352.0,34.6,1003.5
1991-05-01,2794.0,353.1,35.5,1004.9
1991-06-01,2823.8,353.9,36.4,1004.3
1991-07-01,2813.2,353.0,37.5,1007.0
1991-08-01,2825.2,352.6,39.2,1007.2
1991-09-01,2845.8,355.2,41.7,1006.2
1991-10-01,2839.5,358.2,44.8,1000.6
1991-11-01,2853.0,362.0,46.4,998.4
1991-12-01,2881.3,367.5,48.1,1000.7
1992-01-01,2887.5,377.6,48.6,998.9
1992-02-01,2921.2,378.6,49.7,996.7
1992-03-01,2929.9,380.0,51.7,994.8
1992-04-01,2936.2,389.6,54.6,996.9
1992-05-01,2954.0,394.0,57.3,1000.3
1992-06-01,2965.8,402.0,59.9,1003.9
1992-07-01,2969.3,405.5,62.5,1000.1
1992-08-01,2989.0,409.0,64.7,997.0
1992-09-01,2971.3,409.1,65.8,994.1
1992-10-01,2940.5,419.3,68.0,997.8
1992-11-01,2962.2,421.4,70.3,1001.3
1992-12-01,3159.7,415.8,73.8,1003.8
1993-01-01,3000.4,418.8,77.8,1006.8
1993-02-01,3029.3,420.0,81.0,1007.9
1993-03-01,3018.1,417.9,83.3,1008.3
1993-04-01,3063.8,427.2,85.3,1007.3
1993-05-01,3074.1,431.9,86.8,1007.3
1993-06-01,3061.4,429.5,88.5,1007.6
1993-07-01,3084.5,427.2,90.4,1006.2
1993-08-01,3104.9,421.4,92.4,1006.4
1993-09-01,3091.5,421.7,94.8,1006.4
1993-10-01,3076.0,428.8,97.3,1005.6
1993-11-01,3081.5,442.5,100.1,1006.4
1993-12-01,3266.6,448.7,103.2,1008.2
1994-01-01,3142.6,446.4,106.9,1010.3
1994-02-01,3147.9,451.1,109.1,1014.7
1994-03-01,3167.7,453.1,111.0,1020.7
1994-04-01,3215.7,453.4,112.2,1029.2
1994-05-01,3228.2,454.6,113.5,1036.1
1994-06-01,3226.0,454.3,114.7,1042.4
1994-07-01,3247.4,454.0,115.9,1049.6
1994-08-01,3254.6,456.9,116.5,1057.0
1994-09-01,3274.2,459.4,116.5,1066.5
1994-10-01,3309.0,464.3,115.8,1080.5
1994-11-01,3305.1,465.3,115.7,1090.8
1994-12-01,3320.8,466.8,116.3,1099.9
1995-01-01,3344.0,467.1,117.2,1105.6
1995-02-01,3358.2,466.7,118.3,1112.9
1995-03-01,3372.1,468.3,119.4,1119.6
1995-04-01,3390.8,467.1,120.5,1125.4
1995-05-01,3387.0,472.3,121.6,1131.1
1995-06-01,3407.8,476.4,122.6,1136.1
1995-07-01,3426.9,478.1,123.6,1139.9
1995-08-01,3436.2,484.9,125.4,1144.3
1995-09-01,3453.6,490.3,128.1,1148.8
1995-10-01,3470.3,496.7,131.2,1153.9
1995-11-01,3481.2,501.8,134.1,1158.3
1995-12-01,3488.1,504.3,136.6,1162.9
1996-01-01,3490.8,512.7,138.4,1165.9
1996-02-01,3531.9,524.1,139.7,1170.7
1996-03-01,3550.7,533.0,140.5,1175.7
1996-04-01,3563.5,540.1,141.0,1182.1
1996-05-01,3585.6,550.6,141.6,1188.2
1996-06-01,3620.7,551.7,142.2,1195.2
1996-07-01,3622.4,546.9,142.9,1202.9
1996-08-01,3646.5,545.2,143.7,1210.7
1996-09-01,3672.8,550.3,144.4,1218.4
1996-10-01,3678.8,555.9,145.2,1228.0
1996-11-01,3703.6,556.8,145.5,1234.9
1996-12-01,3730.4,557.8,145.3,1241.1
1997-01-01,3746.3,572.6,144.5,1244.5
1997-02-01,3777.9,576.5,144.1,1251.0
1997-03-01,3804.9,577.5,143.9,1258.6
1997-04-01,3816.5,572.3,144.1,1267.0
1997-05-01,3834.9,575.2,144.5,1274.8
1997-06-01,3855.5,577.8,145.2,1281.7
1997-07-01,3873.4,586.0,146.1,1287.5
1997-08-01,3907.8,587.3,147.3,1294.6
1997-09-01,3927.7,592.3,148.8,1302.6
1997-10-01,3958.9,597.1,150.5,1309.6
1997-11-01,4000.5,593.5,152.2,1319.2
1997-12-01,4017.8,599.1,153.7,1329.4
1998-01-01,4049.8,612.9,155.1,1344.2
1998-02-01,4076.6,616.1,156.8,1354.2
1998-03-01,4098.3,623.2,158.6,1363.4
1998-04-01,4118.9,624.5,160.7,1373.3
1998-05-01,4150.6,627.3,162.6,1379.8
1998-06-01,4167.0,637.0,164.5,1384.3
1998-07-01,4187.2,643.7,166.3,1387.7
1998-08-01,4224.8,643.3,168.0,1386.5
1998-09-01,4240.2,648.0,169.8,1381.6
1998-10-01,4262.1,661.0,172.1,1372.3
1998-11-01,4293.5,668.1,173.5,1364.9
1998-12-01,4310.4,676.9,174.6,1358.6
1999-01-01,4343.3,680.2,175.0,1344.2
1999-02-01,4374.1,680.9,176.0,1340.1
1999-03-01,4379.6,684.6,177.3,1337.1
1999-04-01,4394.5,687.9,178.8,1342.8
1999-05-01,4413.3,685.1,179.8,1343.6
1999-06-01,4421.2,697.1,180.1,1346.8
1999-07-01,4448.4,697.6,179.7,1349.4
1999-08-01,4474.9,705.4,179.4,1357.6
1999-09-01,4495.8,696.4,179.0,1368.2
1999-10-01,4535.1,706.5,178.4,1379.7
1999-11-01,4576.3,715.8,179.0,1393.7
1999-12-01,4639.6,719.5,179.2,1408.4
2000-01-01,4725.3,710.3,179.6,1431.3
2000-02-01,4757.1,716.6,179.9,1445.9
2000-03-01,4774.4,735.9,180.0,1460.1
2000-04-01,4780.0,741.2,179.9,1471.2
2000-05-01,4761.8,751.6,180.1,1482.9
2000-06-01,4798.2,761.1,180.6,1492.8
2000-07-01,4858.3,750.5,181.2,1501.2
2000-08-01,4867.8,764.6,182.6,1506.8
2000-09-01,4890.7,767.2,184.7,1510.0
2000-10-01,4900.5,773.4,187.5,1509.9
2000-11-01,4898.9,782.8,190.8,1509.3
2000-12-01,4897.3,790.9,194.7,1507.4
2001-01-01,4957.4,801.5,195.6,1507.4
2001-02-01,4985.1,808.1,197.0,1502.9
2001-03-01,4997.9,819.7,198.8,1498.6
2001-04-01,4972.8,819.0,201.1,1495.5
2001-05-01,4958.8,827.5,202.8,1487.3
2001-06-01,4955.0,836.7,203.9,1479.1
2001-07-01,4944.0,845.2,204.5,1471.8
2001-08-01,4935.3,853.9,204.9,1466.2
2001-09-01,4931.0,837.8,205.0,1457.4
2001-10-01,4931.1,842.8,204.3,1450.4
2001-11-01,4939.7,840.4,204.9,1439.8
2001-12-01,4945.1,839.4,206.0,1427.6
2002-01-01,4938.7,861.8,207.9,1409.9
2002-02-01,4939.8,860.3,209.3,1414.3
2002-03-01,4960.1,856.9,210.3,1408.9
2002-04-01,4977.4,860.1,211.0,1417.5
2002-05-01,4995.3,863.0,211.2,1415.6
2002-06-01,5022.7,868.0,211.0,1409.1
2002-07-01,5001.4,874.3,210.4,1401.8
2002-08-01,5013.6,871.6,210.3,1394.4
2002-09-01,5023.9,871.3,210.6,1391.8
2002-10-01,5024.7,879.3,211.4,1400.8
2002-11-01,5029.5,884.0,213.2,1413.6
2002-12-01,5028.5,886.4,216.1,1428.7
2003-01-01,5012.8,880.2,220.2,1442.2
2003-02-01,5021.7,870.9,223.2,1444.1
2003-03-01,5047.8,873.5,225.4,1441.8
2003-04-01,5066.1,880.4,226.7,1428.4
2003-05-01,5108.9,893.9,227.7,1420.4
2003-06-01,5130.4,900.2,228.5,1423.9
2003-07-01,5142.7,901.8,229.4,1433.6
2003-08-01,5170.0,904.3,231.5,1435.8
2003-09-01,5194.7,908.7,235.2,1432.4
2003-10-01,5233.5,908.9,240.2,1430.9
2003-11-01,5271.5,914.2,243.8,1453.4
2003-12-01,5264.5,925.4,245.8,1458.9
2004-01-01,5265.6,933.0,246.1,1453.1
2004-02-01,5268.2,944.7,247.2,1454.8
2004-03-01,5291.8,959.2,249.1,1456.6
2004-04-01,5331.8,957.4,251.6,1465.4
2004-05-01,5396.1,963.1,252.6,1478.4
2004-06-01,5416.2,965.9,252.0,1490.1
2004-07-01,5465.9,965.5,250.2,1490.7
2004-08-01,5498.7,963.1,248.4,1485.9
2004-09-01,5515.5,961.1,247.0,1500.4
2004-10-01,5532.8,970.6,249.3,1515.4
2004-11-01,5527.8,976.1,247.6,1523.7
2004-12-01,5548.6,984.4,245.3,1831.2
2005-01-01,5563.1,956.1,241.4,1565.8
2005-02-01,5578.2,954.9,239.7,1572.1
2005-03-01,5584.5,958.8,239.2,1616.6
2005-04-01,5617.1,954.6,239.3,1637.1
2005-05-01,5635.5,961.4,238.0,1662.1
2005-06-01,5662.2,974.1,234.6,1657.2
2005-07-01,5716.4,981.8,229.3,1659.2
2005-08-01,5735.0,984.5,225.4,1673.4
2005-09-01,5764.3,994.0,222.0,1700.3
2005-10-01,5795.8,997.8,225.6,1761.8
2005-11-01,5814.2,1006.2,224.9,1799.3
2005-12-01,5836.2,1012.1,224.5,1833.6
2006-01-01,5929.9,1044.9,220.5,1852.3
2006-02-01,5982.0,1047.7,216.2,1869.2
2006-03-01,6003.8,1051.6,213.4,1886.9
2006-04-01,6025.7,1050.2,209.9,1918.9
2006-05-01,5997.0,1052.0,206.5,1956.9
2006-06-01,6015.5,1050.6,202.4,1985.9
2006-07-01,6042.2,1046.6,201.4,1980.2
2006-08-01,6054.3,1049.2,199.6,1987.0
2006-09-01,6088.8,1047.3,197.4,2000.6
2006-10-01,6127.2,1051.2,191.8,2010.4
2006-11-01,6172.1,1049.6,187.1,2024.3
2006-12-01,6244.9,1054.8,181.4,2030.2
2007-01-01,6303.7,1018.7,175.0,2047.8
2007-02-01,6352.5,1018.3,172.8,2079.1
2007-03-01,6377.4,1011.7,174.9,2138.6
2007-04-01,6370.0,1000.6,180.1,2183.7
2007-05-01,6362.6,995.1,183.9,2211.9
