DATE,A576RC1,A041RC1,A048RC1,PIROA
1959-01-01,252.3,50.1,15.0,38.4
1959-02-01,253.6,50.0,15.0,38.9
1959-03-01,256.1,50.2,15.0,39.2
1959-04-01,258.6,50.2,15.4,39.7
1959-05-01,260.8,50.3,15.4,40.1
1959-06-01,262.3,50.5,15.4,40.6
1959-07-01,262.1,50.5,15.8,40.9
1959-08-01,260.2,50.1,15.8,41.4
1959-09-01,260.4,50.4,15.8,41.8
1959-10-01,261.1,50.4,16.0,42.2
1959-11-01,263.2,50.7,16.0,42.5
1959-12-01,267.4,50.7,16.0,43.1
1960-01-01,270.1,50.0,16.2,43.6
1960-02-01,270.8,49.7,16.2,43.7
1960-03-01,271.3,49.5,16.2,43.9
1960-04-01,273.0,50.5,16.4,43.9
1960-05-01,273.7,50.8,16.4,44.1
1960-06-01,273.5,50.8,16.4,44.3
1960-07-01,274.4,50.9,16.5,44.6
1960-08-01,273.8,50.9,16.5,44.9
1960-09-01,273.8,50.8,16.5,45.1
1960-10-01,274.9,51.1,16.7,45.3
1960-11-01,273.7,51.0,16.7,45.4
1960-12-01,271.4,51.0,16.7,45.3
1961-01-01,273.4,52.1,16.9,45.5
1961-02-01,273.4,52.3,16.9,45.7
1961-03-01,274.5,52.6,16.9,45.9
1961-04-01,275.5,52.3,17.1,46.2
1961-05-01,277.4,52.6,17.1,46.5
1961-06-01,279.9,53.1,17.1,46.9
1961-07-01,281.2,53.1,17.3,47.3
1961-08-01,282.6,53.3,17.3,47.6
1961-09-01,283.0,53.5,17.3,48.2
1961-10-01,285.8,54.1,17.5,48.9
1961-11-01,288.9,54.6,17.5,49.3
1961-12-01,290.5,54.8,17.5,49.7
1962-01-01,290.8,55.1,17.7,49.2
1962-02-01,293.1,55.3,17.7,49.7
1962-03-01,295.9,55.5,17.7,50.1
1962-04-01,298.2,55.2,18.0,51.0
1962-05-01,298.7,55.1,18.0,51.5
1962-06-01,299.3,54.6,17.9,52.0
1962-07-01,300.3,54.7,18.2,52.5
1962-08-01,300.6,54.8,18.2,53.0
1962-09-01,302.6,55.1,18.1,53.5
1962-10-01,302.8,55.3,18.3,53.8
1962-11-01,304.5,55.9,18.3,53.9
1962-12-01,305.5,56.1,18.3,54.7
1963-01-01,306.4,56.2,18.5,54.5
1963-02-01,307.9,55.9,18.5,54.8
1963-03-01,309.6,55.8,18.5,54.9
1963-04-01,310.1,55.8,18.7,55.3
1963-05-01,312.2,55.7,18.7,55.9
1963-06-01,314.8,55.8,18.7,56.5
