"Date of data","Trading partner code","Trading partner","US dollar",
"201501","502","United States","13,661,691,037",
"201502","502","United States","9,334,804,549",
"201503","502","United States","13,195,022,793",
"201504","502","United States","12,909,180,616",
"201505","502","United States","11,404,772,079",
"201506","502","United States","12,213,931,385",
"201507","502","United States","12,493,938,344",
"201508","502","United States","11,227,153,847",
"201509","502","United States","12,413,191,233",
"201510","502","United States","11,241,209,417",
"201511","502","United States","12,042,455,292",
"201512","502","United States","15,671,721,206",
