"Date of data","Trading partner code","Trading partner","US dollar",
"202201","502","United States","51,379,195,138",
"202202","502","United States","39,299,089,761",
"202203","502","United States","46,848,359,694",
"202204","502","United States","45,318,459,547",
"202205","502","United States","51,572,744,762",
"202206","502","United States","55,317,944,114",
"202207","502","United States","54,427,972,213",
"202208","502","United States","49,403,694,778",
"202209","502","United States","50,342,515,140",
"202210","502","United States","46,643,204,015",
"202211","502","United States","40,522,864,892",
"202212","502","United States","44,391,108,634",
