"Date of data","Trading partner code","Trading partner","US dollar",
"202001","502","United States","9,009,991,819",
"202002","502","United States","8,595,017,192",
"202003","502","United States","9,916,558,880",
"202004","502","United States","9,232,141,231",
"202005","502","United States","9,343,619,581",
"202006","502","United States","10,512,388,786",
"202007","502","United States","11,312,598,162",
"202008","502","United States","10,582,039,176",
"202009","502","United States","13,209,335,789",
"202010","502","United States","12,351,915,706",
"202011","502","United States","14,551,077,236",
"202012","502","United States","16,633,961,550",
