"Date of data","Trading partner code","Trading partner","US dollar",
"201701","502","United States","12,397,819,875",
"201702","502","United States","11,252,966,274",
"201703","502","United States","14,611,453,330",
"201704","502","United States","11,531,041,487",
"201705","502","United States","13,045,959,399",
"201706","502","United States","12,299,380,855",
"201707","502","United States","12,049,401,938",
"201708","502","United States","12,551,899,840",
"201709","502","United States","12,708,139,615",
"201710","502","United States","11,100,086,695",
"201711","502","United States","14,216,072,099",
"201712","502","United States","16,181,300,140",
