"Date of data","Trading partner code","Trading partner","US dollar",
"201601","502","United States","30,996,815,431",
"201602","502","United States","22,201,704,687",
"201603","502","United States","26,777,190,524",
"201604","502","United States","28,896,444,966",
"201605","502","United States","31,168,577,836",
"201606","502","United States","31,309,321,731",
"201607","502","United States","34,067,529,707",
"201608","502","United States","36,024,073,980",
"201609","502","United States","35,656,432,950",
"201610","502","United States","34,626,843,637",
"201611","502","United States","36,470,135,307",
"201612","502","United States","37,075,934,596",
