date,CN_FOB_US
1981-01-01,80.6
1981-02-01,78.4
1981-03-01,97.1
1981-04-01,114.4
1981-05-01,145.2
1981-06-01,125.0
1981-07-01,123.3
1981-08-01,134.3
1981-09-01,132.3
1981-10-01,164.8
1981-11-01,157.6
1981-12-01,151.9
1982-01-01,162.9
1982-02-01,95.2
1982-03-01,107.3
1982-04-01,144.4
1982-05-01,174.5
1982-06-01,202.2
1982-07-01,109.5
1982-08-01,174.7
1982-09-01,118.5
1982-10-01,154.7
1982-11-01,166.0
1982-12-01,154.7
1983-01-01,98.6
1983-02-01,108.9
1983-03-01,84.5
1983-04-01,126.7
1983-05-01,142.9
1983-06-01,198.2
1983-07-01,158.0
1983-08-01,175.3
1983-09-01,138.1
1983-10-01,173.1
1983-11-01,157.0
1983-12-01,151.6
1984-01-01,146.5
1984-02-01,142.3
1984-03-01,192.2
1984-04-01,230.9
1984-05-01,250.0
1984-06-01,218.1
1984-07-01,205.8
1984-08-01,193.1
1984-09-01,171.1
1984-10-01,170.1
1984-11-01,203.7
1984-12-01,188.7
1985-01-01,130.0
1985-02-01,111.3
1985-03-01,215.8
1985-04-01,160.2
1985-05-01,199.4
1985-06-01,190.2
1985-07-01,192.6
1985-08-01,188.9
1985-09-01,202.3
1985-10-01,200.6
1985-11-01,188.4
1985-12-01,356.5
1986-01-01,206.2
1986-02-01,156.9
1986-03-01,152.1
1986-04-01,198.3
1986-05-01,215.9
1986-06-01,230.1
1986-07-01,236.4
1986-08-01,250.1
1986-09-01,189.8
1986-10-01,221.9
1986-11-01,230.0
1986-12-01,345.0
1987-01-01,165.2
1987-02-01,212.2
1987-03-01,271.2
1987-04-01,239.4
1987-05-01,291.7
1987-06-01,263.9
1987-07-01,273.0
1987-08-01,244.1
1987-09-01,224.8
1987-10-01,212.8
1987-11-01,258.5
1987-12-01,373.6
1988-01-01,217.8
1988-02-01,223.7
1988-03-01,273.7
1988-04-01,272.5
1988-05-01,271.4
1988-06-01,241.6
1988-07-01,265.7
1988-08-01,293.7
1988-09-01,290.8
1988-10-01,269.8
1988-11-01,276.0
1988-12-01,502.0
1989-01-01,224.2
1989-02-01,222.5
1989-03-01,318.9
1989-04-01,302.1
1989-05-01,384.8
1989-06-01,368.3
1989-07-01,371.8
1989-08-01,361.5
1989-09-01,410.0
1989-10-01,90.2
1989-11-01,389.8
1989-12-01,543.7
1990-01-01,375.8
1990-02-01,302.2
1990-03-01,347.4
1990-04-01,380.2
1990-05-01,471.6
1990-06-01,457.7
1990-07-01,432.1
1990-08-01,470.6
1990-09-01,385.5
1990-10-01,506.1
1990-11-01,379.6
1990-12-01,805.2
1991-01-01,340.0
1991-02-01,328.8
1991-03-01,398.9
1991-04-01,410.5
1991-05-01,509.8
1991-06-01,523.9
1991-07-01,551.5
1991-08-01,537.0
1991-09-01,529.3
1991-10-01,580.5
1991-11-01,589.7
1991-12-01,898.1
1992-01-01,305.6
1992-02-01,483.1
1992-03-01,554.7
1992-04-01,534.4
1992-05-01,646.4
1992-06-01,741.2
1992-07-01,807.9
1992-08-01,811.6
1992-09-01,707.8
1992-10-01,769.3
1992-11-01,839.6
1992-12-01,1397.1
1993-01-01,566.5
1993-02-01,976.2
1993-03-01,1102.8
1993-04-01,1228.3
1993-05-01,1408.7
1993-06-01,1343.0
1993-07-01,1489.8
1993-08-01,1580.2
1993-09-01,1717.7
1993-10-01,1497.5
1993-11-01,1688.0
1993-12-01,2377.8
1994-01-01,919.4
1994-02-01,1037.3
1994-03-01,1452.8
1994-04-01,1473.6
1994-05-01,1726.1
1994-06-01,1941.8
1994-07-01,1918.5
1994-08-01,1938.2
1994-09-01,2016.2
1994-10-01,1880.6
1994-11-01,2206.4
1994-12-01,2910.6
1995-01-01,1653.0
1995-02-01,1398.1
1995-03-01,1872.3
1995-04-01,1789.9
1995-05-01,2137.9
1995-06-01,2374.2
1995-07-01,2334.5
1995-08-01,2261.7
1995-09-01,2245.7
1995-10-01,2193.8
1995-11-01,1924.5
1995-12-01,2558.2
1996-01-01,1594.6
1996-02-01,1391.9
1996-03-01,1656.8
1996-04-01,1813.6
1996-05-01,2127.4
1996-06-01,2237.5
1996-07-01,2384.6
1996-08-01,2580.4
1996-09-01,2562.2
1996-10-01,3018.0
1996-11-01,2360.8
1996-12-01,3002.8
1997-01-01,2048.6
1997-02-01,1596.4
1997-03-01,2268.7
1997-04-01,2655.0
1997-05-01,2740.0
1997-06-01,2805.0
1997-07-01,2984.5
1997-08-01,3003.6
1997-09-01,3184.5
1997-10-01,3381.0
1997-11-01,2897.7
1997-12-01,3179.0
1998-01-01,2337.5
1998-02-01,2186.0
1998-03-01,2729.0
1998-04-01,3072.6
1998-05-01,3027.5
1998-06-01,3294.9
1998-07-01,3517.1
1998-08-01,3389.8
1998-09-01,3542.1
1998-10-01,3338.8
1998-11-01,3313.8
1998-12-01,4251.5
1999-01-01,2468.4
1999-02-01,2387.9
1999-03-01,3084.8
