"Date of data","Trading partner code","Trading partner","US dollar",
"201901","502","United States","36,676,067,409",
"201902","502","United States","22,730,297,940",
"201903","502","United States","31,883,755,279",
"201904","502","United States","31,426,835,131",
"201905","502","United States","37,756,025,407",
"201906","502","United States","39,252,319,784",
"201907","502","United States","38,931,051,093",
"201908","502","United States","37,366,651,592",
"201909","502","United States","36,524,484,044",
"201910","502","United States","35,870,648,934",
"201911","502","United States","35,674,799,696",
"201912","502","United States","34,571,142,974",
