"Date of data","Trading partner code","Trading partner","US dollar",
"202301","502","United States","14,402,109,264",
"202302","502","United States","14,935,963,038",
"202303","502","United States","15,875,796,667",
"202304","502","United States","13,121,480,203",
"202305","502","United States","14,278,106,495",
"202306","502","United States","13,964,514,259",
"202307","502","United States","12,039,047,232",
"202308","502","United States","11,941,621,395",
"202309","502","United States","12,835,403,629",
"202310","502","United States","12,345,500,130",
