"Date of data","Trading partner code","Trading partner","US dollar",
"201501","502","United States","35,236,981,282",
"201502","502","United States","29,434,594,228",
"201503","502","United States","24,872,797,990",
"201504","502","United States","32,408,751,160",
"201505","502","United States","35,622,903,046",
"201506","502","United States","35,004,217,985",
"201507","502","United States","35,078,203,824",
"201508","502","United States","36,206,262,196",
"201509","502","United States","38,968,660,612",
"201510","502","United States","36,872,131,402",
"201511","502","United States","34,264,663,047",
"201512","502","United States","35,243,730,532",
