"Date of data","Trading partner code","Trading partner","US dollar",
"201701","502","United States","33,351,468,074",
"201702","502","United States","21,470,032,742",
"201703","502","United States","32,248,534,708",
"201704","502","United States","32,346,229,236",
"201705","502","United States","34,828,032,969",
"201706","502","United States","37,480,363,985",
"201707","502","United States","36,992,411,670",
"201708","502","United States","38,944,673,219",
"201709","502","United States","40,913,966,219",
"201710","502","United States","37,582,288,146",
"201711","502","United States","41,812,906,336",
"201712","502","United States","41,751,686,622",
