"Date of data","Trading partner code","Trading partner","US dollar",
"202201","502","United States","18,595,929,474",
"202202","502","United States","12,842,524,019",
"202203","502","United States","14,889,642,060",
"202204","502","United States","13,746,975,345",
"202205","502","United States","15,850,011,846",
"202206","502","United States","14,601,296,705",
"202207","502","United States","13,518,580,943",
"202208","502","United States","12,949,230,635",
"202209","502","United States","14,493,758,373",
"202210","502","United States","12,641,910,100",
"202211","502","United States","16,431,017,780",
"202212","502","United States","15,616,597,688",
