date,US_CIF_CN
1999-05-01,6768.7
1999-06-01,6348.7
1999-07-01,7956.7
1999-08-01,8641.1
1999-09-01,8873.1
1999-10-01,8881.5
1999-11-01,8153.6
1999-12-01,7225.8
2000-01-01,7428.8
2000-02-01,7100.8
2000-03-01,5543.1
2000-04-01,7603.1
2000-05-01,8446.0
2000-06-01,9199.1
2000-07-01,9942.5
2000-08-01,10804.3
2000-09-01,10819.1
2000-10-01,11347.4
2000-11-01,9761.7
2000-12-01,8218.8
2001-01-01,9041.5
2001-02-01,6872.6
2001-03-01,8165.0
2001-04-01,8246.9
2001-05-01,8316.6
2001-06-01,8975.1
2001-07-01,9577.6
2001-08-01,10679.8
2001-09-01,10610.3
2001-10-01,11514.2
2001-11-01,9486.1
2001-12-01,7905.9
2002-01-01,8975.4
2002-02-01,8552.1
2002-03-01,7736.2
2002-04-01,9713.0
2002-05-01,10486.6
2002-06-01,11410.4
2002-07-01,11931.2
2002-08-01,13479.0
2002-09-01,13091.5
2002-10-01,12232.6
2002-11-01,13430.4
2002-12-01,12452.0
2003-01-01,12188.3
2003-02-01,10279.3
2003-03-01,10784.2
2003-04-01,12344.5
2003-05-01,12698.8
2003-06-01,12995.1
2003-07-01,14421.3
2003-08-01,14760.2
2003-09-01,15880.8
2003-10-01,17603.1
2003-11-01,15149.2
2003-12-01,14150.5
2004-01-01,15090.5
2004-02-01,12125.6
2004-03-01,14790.3
2004-04-01,15761.5
2004-05-01,16109.2
2004-06-01,18133.1
2004-07-01,18771.4
2004-08-01,19314.8
2004-09-01,19651.8
2004-10-01,21056.0
2004-11-01,20955.4
2004-12-01,18766.2
2005-01-01,19143.8
2005-02-01,18146.6
2005-03-01,17308.6
2005-04-01,19369.4
2005-05-01,20361.4
2005-06-01,22388.0
2005-07-01,22703.1
2005-08-01,23892.7
2005-09-01,24845.9
2005-10-01,26022.5
2005-11-01,23828.5
2005-12-01,21827.3
2006-01-01,22824.5
2006-02-01,19118.9
2006-03-01,21840.9
2006-04-01,22840.2
2006-05-01,23749.1
2006-06-01,25551.9
2006-07-01,26164.5
2006-08-01,28394.3
2006-09-01,29253.9
2006-10-01,31071.7
2006-11-01,29391.5
2006-12-01,25586.2
2007-01-01,27159.5
2007-02-01,24429.7
2007-03-01,23989.3
2007-04-01,25616.5
2007-05-01,26893.5
2007-06-01,28616.0
2007-07-01,30255.9
2007-08-01,30118.6
2007-09-01,31096.4
2007-10-01,33374.7
2007-11-01,31425.5
2007-12-01,27142.1
2008-01-01,27691.3
2008-02-01,25531.4
2008-03-01,23658.6
2008-04-01,27378.2
2008-05-01,29217.8
2008-06-01,29379.1
2008-07-01,32999.0
2008-08-01,33590.3
2008-09-01,34873.7
2008-10-01,35817.6
2008-11-01,29787.1
2008-12-01,26394.8
2009-01-01,26053.3
2009-02-01,19807.9
2009-03-01,22197.3
2009-04-01,22970.8
2009-05-01,23769.0
2009-06-01,24975.7
2009-07-01,26745.7
2009-08-01,26853.5
2009-09-01,29073.9
2009-10-01,30748.9
2009-11-01,28724.0
2009-12-01,27637.7
2010-01-01,26286.2
2010-02-01,24405.8
2010-03-01,25453.4
2010-04-01,27159.8
2010-05-01,30484.6
2010-06-01,34544.5
2010-07-01,35014.5
2010-08-01,37177.7
2010-09-01,36846.4
2010-10-01,36615.2
2010-11-01,36760.6
2010-12-01,32234.2
2011-01-01,31377.4
2011-02-01,27244.7
2011-03-01,27599.7
2011-04-01,29580.3
2011-05-01,32788.1
2011-06-01,34374.8
2011-07-01,35152.2
2011-08-01,37374.1
2011-09-01,36418.6
2011-10-01,37824.1
2011-11-01,36764.9
2011-12-01,32872.3
2012-01-01,34417.5
2012-02-01,28105.2
2012-03-01,31431.3
2012-04-01,33016.3
2012-05-01,34937.8
2012-06-01,35949.4
2012-07-01,37930.8
2012-08-01,37280.6
2012-09-01,37891.8
2012-10-01,40257.1
2012-11-01,39543.7
2012-12-01,34857.6
2013-01-01,37193.7
2013-02-01,32743.0
2013-03-01,27294.4
2013-04-01,33132.0
2013-05-01,36618.2
2013-06-01,35886.4
2013-07-01,38800.9
2013-08-01,39162.0
2013-09-01,40146.8
2013-10-01,41844.8
2013-11-01,40112.7
2013-12-01,37499.6
2014-01-01,38278.6
2014-02-01,30617.1
2014-03-01,31325.9
2014-04-01,36327.6
2014-05-01,38057.8
2014-06-01,39463.7
2014-07-01,40165.2
2014-08-01,39920.4
2014-09-01,44923.3
2014-10-01,45146.1
2014-11-01,42309.8
2014-12-01,40218.9
2015-01-01,38158.4
2015-02-01,31240.1
2015-03-01,41121.9
2015-04-01,35795.1
2015-05-01,39211.2
2015-06-01,41145.1
2015-07-01,41077.2
2015-08-01,44117.2
2015-09-01,45700.6
2015-10-01,44358.0
2015-11-01,41940.5
2015-12-01,38015.3
2016-01-01,37145.7
2016-02-01,36160.8
2016-03-01,29852.7
2016-04-01,32973.2
2016-05-01,37535.2
2016-06-01,38579.0
2016-07-01,39487.1
2016-08-01,43247.3
2016-09-01,42022.7
2016-10-01,43807.1
2016-11-01,42620.5
2016-12-01,39381.8
2017-01-01,41335.6
2017-02-01,32785.0
2017-03-01,34162.0
2017-04-01,37441.9
2017-05-01,41756.8
2017-06-01,42258.1
2017-07-01,43561.1
2017-08-01,45782.3
2017-09-01,45405.1
2017-10-01,48133.1
2017-11-01,48104.8
2017-12-01,44439.4
2018-01-01,45681.3
2018-02-01,38956.2
2018-03-01,38273.8
2018-04-01,38227.8
2018-05-01,43866.6
2018-06-01,44524.0
2018-07-01,47009.8
2018-08-01,47796.2
2018-09-01,49938.0
2018-10-01,52081.1
2018-11-01,46344.6
2018-12-01,45814.9
2019-01-01,41302.5
2019-02-01,33027.8
2019-03-01,31078.7
2019-04-01,34499.5
2019-05-01,39023.9
2019-06-01,38733.0
2019-07-01,41237.2
2019-08-01,40955.6
2019-09-01,39866.7
2019-10-01,39794.9
2019-11-01,36172.9
2019-12-01,33418.1
2020-01-01,32944.7
2020-02-01,22576.6
2020-03-01,19638.1
2020-04-01,30730.1
2020-05-01,36318.7
2020-06-01,37286.9
2020-07-01,40469.8
2020-08-01,40598.9
2020-09-01,41003.2
2020-10-01,44654.3
2020-11-01,44700.4
2020-12-01,41626.2
2021-01-01,38837.4
2021-02-01,33824.6
2021-03-01,39943.4
2021-04-01,37374.3
2021-05-01,38495.0
2021-06-01,39785.8
2021-07-01,40287.0
2021-08-01,42868.0
2021-09-01,47334.3
2021-10-01,47909.5
2021-11-01,48222.2
2021-12-01,49404.5
2022-01-01,47699.5
2022-02-01,42277.1
2022-03-01,47299.9
2022-04-01,41751.3
2022-05-01,43810.9
2022-06-01,48532.2
2022-07-01,46569.7
2022-08-01,50380.2
2022-09-01,49250.2
2022-10-01,44605.7
2022-11-01,36902.2
2022-12-01,37228.2
2023-01-01,38252.9
2023-02-01,30620.6
2023-03-01,30789.7
2023-04-01,33077.3
2023-05-01,35890.6
2023-06-01,34334.1
2023-07-01,36099.5
2023-08-01,36724.7
