date,US_CIF_CN
1971-09-01,3.0
1971-11-01,1.0
1971-12-01,1.0
1972-01-01,2.0
1972-02-01,3.0
1972-03-01,3.0
1972-04-01,3.0
1972-05-01,3.0
1972-06-01,2.0
1972-07-01,3.0
1972-08-01,2.0
1972-09-01,3.0
1972-10-01,5.0
1972-11-01,4.0
1972-12-01,3.0
1973-01-01,5.0
1973-02-01,6.0
1973-03-01,4.0
1973-04-01,7.0
1973-05-01,5.0
1973-06-01,5.0
1973-07-01,5.0
1973-08-01,7.0
1973-09-01,5.0
1973-10-01,6.0
1973-11-01,8.0
1973-12-01,8.0
1974-01-01,6.0
1974-02-01,8.0
1974-03-01,8.0
1974-04-01,7.0
1974-05-01,13.0
1974-06-01,15.0
1974-07-01,12.0
1974-08-01,13.0
1974-09-01,15.0
1974-10-01,13.0
1974-11-01,9.0
1974-12-01,7.0
1975-01-01,15.0
1975-02-01,12.0
1975-03-01,14.0
1975-04-01,21.0
1975-05-01,8.0
1975-06-01,9.0
1975-07-01,6.0
1975-08-01,13.0
1975-09-01,15.0
1975-10-01,17.0
1975-11-01,22.0
1975-12-01,19.0
1976-01-01,18.0
1976-02-01,17.0
1976-03-01,18.0
1976-04-01,15.0
1976-05-01,15.0
1976-06-01,16.1
1976-07-01,18.0
1976-08-01,21.0
1976-09-01,22.0
1976-10-01,17.1
1976-11-01,22.0
1976-12-01,23.2
1977-01-01,14.8
1977-02-01,22.2
1977-03-01,19.0
1977-04-01,17.3
1977-05-01,16.6
1977-06-01,20.5
1977-07-01,16.4
1977-08-01,21.6
1977-09-01,24.8
1977-10-01,15.7
1977-11-01,9.9
1977-12-01,25.5
1978-01-01,33.8
1978-02-01,26.8
1978-03-01,26.4
1978-04-01,38.0
1978-05-01,28.9
1978-06-01,28.2
1978-07-01,30.9
1978-08-01,28.1
1978-09-01,30.5
1978-10-01,33.8
1978-11-01,28.0
1978-12-01,24.0
1979-01-01,35.2
1979-02-01,29.3
1979-03-01,47.5
1979-04-01,47.9
1979-05-01,51.2
1979-06-01,60.4
1979-07-01,62.3
1979-08-01,60.6
1979-09-01,60.7
1979-10-01,52.9
1979-11-01,68.8
1979-12-01,79.5
1980-01-01,92.4
1980-02-01,68.7
1980-03-01,64.7
1980-04-01,86.2
1980-05-01,84.8
1980-06-01,104.4
1980-07-01,93.8
1980-08-01,107.5
1980-09-01,117.4
1980-10-01,113.9
1980-11-01,105.9
1980-12-01,124.7
1981-01-01,130.1
1981-02-01,126.5
1981-03-01,156.7
1981-04-01,157.9
1981-05-01,200.4
1981-06-01,172.5
1981-07-01,185.7
1981-08-01,202.3
1981-09-01,199.2
1981-10-01,184.5
1981-11-01,176.5
1981-12-01,170.1
1982-01-01,271.5
1982-02-01,158.7
1982-03-01,178.8
1982-04-01,148.6
1982-05-01,179.5
1982-06-01,208.0
1982-07-01,207.5
1982-08-01,331.1
1982-09-01,224.5
1982-10-01,193.4
1982-11-01,207.5
1982-12-01,193.3
1983-01-01,198.7
1983-02-01,219.4
1983-03-01,170.3
1983-04-01,159.7
1983-05-01,180.1
1983-06-01,249.8
1983-07-01,225.3
1983-08-01,250.0
1983-09-01,197.0
1983-10-01,225.1
1983-11-01,204.2
1983-12-01,197.2
1984-01-01,293.0
1984-02-01,260.3
1984-03-01,263.3
1984-04-01,253.5
1984-05-01,276.2
1984-06-01,303.2
1984-07-01,352.7
1984-08-01,286.6
1984-09-01,323.1
1984-10-01,285.7
1984-11-01,230.2
1984-12-01,253.6
1985-01-01,320.8
1985-02-01,307.1
1985-03-01,322.9
1985-04-01,310.0
1985-05-01,321.4
1985-06-01,382.1
1985-07-01,374.9
1985-08-01,340.8
1985-09-01,428.4
1985-10-01,422.6
1985-11-01,357.9
1985-12-01,335.3
1986-01-01,496.1
1986-02-01,409.0
1986-03-01,444.5
1986-04-01,291.5
1986-05-01,349.5
1986-06-01,410.8
1986-07-01,495.1
1986-08-01,478.2
1986-09-01,456.3
1986-10-01,440.7
1986-11-01,536.6
1986-12-01,432.3
1987-01-01,567.9
1987-02-01,618.5
1987-03-01,535.2
1987-04-01,521.0
1987-05-01,565.6
1987-06-01,588.5
1987-07-01,613.5
1987-08-01,656.7
1987-09-01,602.6
1987-10-01,621.5
1987-11-01,537.1
1987-12-01,482.3
1988-01-01,718.8
1988-02-01,713.2
1988-03-01,572.2
1988-04-01,601.1
1988-05-01,674.0
1988-06-01,784.1
1988-07-01,822.3
1988-08-01,871.4
1988-09-01,861.3
1988-10-01,903.9
1988-11-01,867.4
1988-12-01,871.6
1989-01-01,846.9
1989-02-01,885.7
1989-03-01,725.5
1989-04-01,786.5
1989-05-01,1004.3
1989-06-01,1095.3
1989-07-01,1240.3
1989-08-01,1379.2
1989-09-01,1270.9
1989-10-01,1437.2
1989-11-01,1219.4
1989-12-01,1009.8
1990-01-01,1281.6
1990-02-01,1044.9
1990-03-01,1011.9
1990-04-01,1058.2
1990-05-01,1240.8
1990-06-01,1379.7
1990-07-01,1618.0
1990-08-01,1679.7
1990-09-01,1524.4
1990-10-01,1742.4
1990-11-01,1507.5
1990-12-01,1206.7
1991-01-01,1415.3
1991-02-01,1347.2
1991-03-01,1050.6
1991-04-01,1186.1
1991-05-01,1470.9
1991-06-01,1633.9
1991-07-01,1940.7
1991-08-01,1998.0
1991-09-01,2065.8
1991-10-01,2375.9
1991-11-01,2099.7
1991-12-01,1721.0
1992-01-01,2026.7
1992-02-01,1814.6
1992-03-01,1540.1
1992-04-01,1796.4
1992-05-01,1961.8
1992-06-01,2309.0
1992-07-01,2651.7
1992-08-01,2775.6
1992-09-01,2955.4
1992-10-01,2927.2
1992-11-01,2474.7
1992-12-01,2179.3
1993-01-01,2332.9
1993-02-01,1990.9
1993-03-01,2230.6
1993-04-01,2373.7
1993-05-01,2530.6
1993-06-01,2934.9
1993-07-01,3169.6
1993-08-01,3405.7
1993-09-01,3588.4
1993-10-01,3509.9
1993-11-01,3115.9
1993-12-01,2329.6
1994-01-01,2921.1
1994-02-01,2684.2
1994-03-01,2337.1
1994-04-01,2669.8
1994-05-01,3173.9
1994-06-01,3688.0
1994-07-01,3868.3
1994-08-01,4426.9
1994-09-01,4414.8
1994-10-01,4378.2
1994-11-01,3782.9
1994-12-01,3017.2
1995-01-01,3673.1
1995-02-01,3205.6
1995-03-01,3126.0
1995-04-01,3348.0
1995-05-01,3895.7
1995-06-01,4216.7
1995-07-01,4586.9
1995-08-01,5107.6
1995-09-01,4890.5
1995-10-01,5013.7
1995-11-01,4123.0
1995-12-01,3333.9
1996-01-01,3885.6
1996-02-01,3750.2
1996-03-01,3044.4
1996-04-01,3441.0
1996-05-01,4183.4
1996-06-01,4344.7
1996-07-01,5080.7
1996-08-01,5782.9
1996-09-01,5783.9
1996-10-01,6117.7
1996-11-01,4824.3
1996-12-01,4170.1
1997-01-01,4906.4
1997-02-01,4460.1
1997-03-01,3789.7
1997-04-01,4696.6
1997-05-01,5074.8
1997-06-01,5500.1
1997-07-01,6094.8
1997-08-01,6367.8
1997-09-01,6919.3
1997-10-01,6946.6
1997-11-01,5706.2
1997-12-01,5369.3
1998-01-01,5726.2
1998-02-01,4775.7
1998-03-01,5056.9
1998-04-01,5536.7
1998-05-01,5817.6
1998-06-01,6357.2
1998-07-01,6890.4
1998-08-01,7174.1
1998-09-01,7524.8
1998-10-01,7822.9
1998-11-01,6766.9
1998-12-01,5659.8
1999-01-01,5991.8
1999-02-01,5898.6
1999-03-01,5543.1
1999-04-01,6197.9
