"Date of data","Trading partner code","Trading partner","US dollar",
"202301","502","United States","43,482,644,754",
"202302","502","United States","26,552,257,324",
"202303","502","United States","41,812,276,229",
"202304","502","United States","42,075,739,116",
"202305","502","United States","42,199,116,106",
"202306","502","United States","42,449,528,296",
"202307","502","United States","42,281,000,379",
"202308","502","United States","45,013,391,500",
"202309","502","United States","45,998,476,360",
"202310","502","United States","43,165,776,001",
