"Date of data","Trading partner code","Trading partner","US dollar",
"201901","502","United States","9,241,283,349",
"201902","502","United States","7,995,776,870",
"201903","502","United States","11,347,537,982",
"201904","502","United States","10,440,225,086",
"201905","502","United States","10,836,441,586",
"201906","502","United States","9,404,367,879",
"201907","502","United States","10,928,407,333",
"201908","502","United States","10,394,972,800",
"201909","502","United States","10,651,052,267",
"201910","502","United States","9,390,801,671",
"201911","502","United States","11,033,439,946",
"201912","502","United States","11,231,889,712",
