date,CN,W00
1981-01-01,1.1,1911.7
1981-02-01,0.7,1925.2
1981-03-01,0.9,2251.6
1981-04-01,4.7,2357.6
1981-05-01,4.4,2389.6
1981-06-01,4.5,2556.5
1981-07-01,3.7,2409.1
1981-08-01,3.7,2081.5
1981-09-01,6.2,2085.0
1981-10-01,2.4,2307.9
1981-11-01,1.4,2216.0
1981-12-01,1.2,2238.5
1982-01-01,1.6,1822.3
1982-02-01,0.7,1695.1
1982-03-01,0.6,1921.4
1982-04-01,2.5,1717.3
1982-05-01,1.1,1699.5
1982-06-01,3.1,1772.9
1982-07-01,1.1,1647.1
1982-08-01,1.0,1270.3
1982-09-01,0.5,1425.8
1982-10-01,0.7,907.4
1982-11-01,0.8,792.7
1982-12-01,0.6,929.8
1983-01-01,0.7,893.7
1983-02-01,0.6,990.2
1983-03-01,1.0,1044.1
1983-04-01,0.2,966.2
1983-05-01,0.2,1089.1
1983-06-01,0.2,1105.5
1983-07-01,0.7,1067.3
1983-08-01,1.3,1160.1
1983-09-01,0.8,1065.5
1983-10-01,0.2,1088.5
1983-11-01,0.0,1031.2
1983-12-01,0.1,1092.5
1984-03-01,1.9,1328.5
1984-04-01,0.1,1301.8
1984-05-01,0.1,1278.1
1984-06-01,0.3,1384.3
1984-07-01,0.2,1370.9
1984-08-01,0.2,1358.1
1984-09-01,0.2,1264.0
1984-10-01,4.5,1469.0
1984-11-01,0.1,1392.9
1984-12-01,2.0,1517.3
1985-01-01,0.1,1409.8
1985-02-01,0.1,1403.6
1985-03-01,7.1,1661.9
1985-04-01,5.7,1604.8
1985-05-01,4.7,1260.3
1985-06-01,0.2,1813.1
1985-07-01,1.5,1313.2
1985-08-01,0.2,1770.8
1985-09-01,0.2,1390.8
1985-10-01,1.5,1589.2
1985-11-01,0.5,1666.0
1985-12-01,0.4,1545.7
1986-01-01,1.2,1422.2
1986-02-01,0.2,1415.3
1986-03-01,0.2,1389.9
1986-04-01,0.2,1547.2
1986-05-01,0.2,1530.6
1986-06-01,3.5,1429.5
1986-07-01,0.5,1445.3
1986-08-01,3.6,1309.3
1986-09-01,0.1,1344.6
1986-10-01,0.3,1450.2
1986-11-01,0.3,1270.1
1986-12-01,0.4,1283.2
1987-01-01,0.2,1297.4
1987-02-01,0.1,1380.2
1987-03-01,1.2,1705.6
1987-04-01,0.2,1480.4
1987-05-01,2.4,1581.9
1987-06-01,0.2,1675.7
1987-07-01,1.0,1658.7
1987-08-01,0.5,1634.6
1987-09-01,0.4,1755.2
1987-10-01,0.4,1727.1
1987-11-01,0.7,1916.5
1987-12-01,1.9,1930.9
1988-01-01,0.3,1623.1
1988-02-01,0.4,1771.0
1988-03-01,2.2,2290.4
1988-04-01,0.6,2102.3
1988-05-01,0.3,2300.1
1988-06-01,0.7,2139.8
1988-07-01,0.7,2229.6
1988-08-01,1.0,2418.3
1988-09-01,1.5,2496.6
1988-10-01,1.0,2662.9
1988-11-01,2.4,2618.0
1988-12-01,2.6,2675.5
1989-01-01,0.4,2446.3
1989-02-01,0.6,2712.1
1989-03-01,1.7,2892.3
1989-04-01,1.1,2783.3
1989-05-01,1.2,2827.8
1989-06-01,2.1,2941.4
1989-07-01,3.6,2820.9
1989-08-01,2.0,2986.2
1989-09-01,4.2,2751.3
1989-10-01,2.2,3198.9
1989-11-01,4.5,2806.3
1989-12-01,7.6,3047.4
1990-01-01,2.7,2904.8
1990-02-01,6.1,2831.2
1990-03-01,13.9,3198.3
1990-04-01,3.9,2935.3
1990-05-01,10.7,3523.9
1990-06-01,26.7,3563.7
1990-07-01,4.8,3333.7
1990-08-01,12.2,3575.5
1990-09-01,8.6,3379.8
1990-10-01,9.5,3938.0
1990-11-01,5.1,3614.6
1990-12-01,7.0,3346.9
1991-01-01,2.5,3406.8
1991-02-01,2.9,3253.2
1991-03-01,7.0,3269.5
1991-04-01,7.8,3798.2
1991-05-01,6.8,3887.5
1991-06-01,6.0,3929.0
1991-07-01,12.2,4009.3
1991-08-01,6.9,3890.9
1991-09-01,9.5,3945.3
1991-10-01,7.4,4560.0
1991-11-01,7.8,4605.8
1991-12-01,9.6,4434.4
1992-01-01,2.4,4316.5
1992-02-01,5.1,4443.8
1992-03-01,13.8,5031.7
1992-04-01,7.5,4884.3
1992-05-01,12.0,4822.6
1992-06-01,11.4,5066.4
1992-07-01,10.6,5127.1
1992-08-01,13.8,4626.4
1992-09-01,14.4,5143.7
1992-10-01,17.8,4972.5
1992-11-01,25.2,4868.8
1992-12-01,23.7,4956.1
1993-01-01,9.1,4365.0
1993-02-01,12.0,4568.9
1993-03-01,22.6,5301.6
1993-04-01,18.0,5210.9
1993-05-01,12.6,4839.3
1993-06-01,8.9,5230.9
1993-07-01,10.9,4729.4
1993-08-01,9.8,4652.5
1993-09-01,13.9,4909.8
1993-10-01,8.4,4788.4
1993-11-01,11.8,5528.6
1993-12-01,17.2,5044.5
1994-01-01,5.2,5145.9
1994-02-01,8.0,5189.7
1994-03-01,15.7,6184.9
1994-04-01,11.3,5351.0
1994-05-01,14.8,6089.4
1994-06-01,14.6,6132.4
1994-07-01,14.9,6085.8
1994-08-01,24.3,6030.6
1994-09-01,18.0,6104.7
1994-10-01,18.5,6341.8
1994-11-01,26.0,6347.9
1994-12-01,30.2,6130.2
1995-01-01,15.1,5452.4
1995-02-01,8.1,4876.9
1995-03-01,11.4,5339.4
1995-04-01,14.4,4544.0
1995-05-01,17.2,4894.7
1995-06-01,17.4,4967.4
1995-07-01,13.5,4659.0
1995-08-01,14.2,5312.0
1995-09-01,13.1,5261.2
1995-10-01,23.4,5479.0
1995-11-01,21.7,5363.2
1995-12-01,25.7,5140.0
1996-01-01,15.3,5426.4
1996-02-01,8.5,5446.1
1996-03-01,16.2,5884.6
1996-04-01,15.9,5685.3
1996-05-01,23.3,6140.8
1996-06-01,24.2,5865.7
1996-07-01,11.5,6046.6
1996-08-01,25.1,6266.2
1996-09-01,15.8,6157.4
1996-10-01,19.2,7366.1
1996-11-01,17.2,6404.1
1996-12-01,28.9,6860.2
1997-01-01,25.3,6412.8
1997-02-01,16.0,6814.9
1997-03-01,24.4,7083.5
1997-04-01,27.5,7435.0
1997-05-01,27.1,7047.4
1997-06-01,33.3,7644.8
1997-07-01,38.7,7789.6
1997-08-01,35.6,7979.7
1997-09-01,50.7,8200.7
1997-10-01,44.7,9083.0
1997-11-01,43.7,8475.2
1997-12-01,48.1,8340.6
1998-01-01,38.2,7816.7
1998-02-01,30.4,8235.9
1998-03-01,45.2,9100.2
1998-04-01,68.1,8590.5
1998-05-01,54.5,8465.2
1998-06-01,63.6,8556.3
1998-07-01,71.5,8388.2
1998-08-01,72.1,8193.6
1998-09-01,62.0,9091.5
1998-10-01,56.7,9506.3
1998-11-01,58.0,9085.1
1998-12-01,68.5,8648.6
1999-01-01,27.5,7737.7
1999-02-01,33.5,8002.7
1999-03-01,47.3,9122.0
1999-04-01,64.3,8780.3
1999-05-01,67.5,8787.0
1999-06-01,69.7,8658.1
1999-07-01,75.4,9454.0
1999-08-01,74.9,9809.2
1999-09-01,89.7,10170.0
1999-10-01,79.1,11205.7
1999-11-01,88.0,10791.1
