"Date of data","Trading partner code","Trading partner","US dollar",
"202101","502","United States","15,992,867,557",
"202102","502","United States","13,266,292,142",
"202103","502","United States","17,280,131,871",
"202104","502","United States","13,921,575,844",
"202105","502","United States","12,985,009,853",
"202106","502","United States","14,206,840,123",
"202107","502","United States","13,947,480,730",
"202108","502","United States","13,807,382,677",
"202109","502","United States","15,393,880,824",
"202110","502","United States","13,049,547,319",
"202111","502","United States","17,550,387,274",
"202112","502","United States","16,978,732,768",
