date,CA,MX,W00,CN
2016-07-01,-5768.5,-8387.0,-63247.8,-24534.3
2016-08-01,-6352.3,-9754.4,-59859.5,-25171.1
2016-09-01,-6776.9,-9460.4,-67102.5,-24825.0
2016-10-01,-6837.3,-9708.3,-62522.8,-24219.9
2016-11-01,-8323.0,-10729.4,-63934.0,-23080.0
2016-12-01,-7661.1,-9945.3,-60725.9,-21789.9
2017-01-01,-8713.1,-6291.2,-55858.1,-21438.0
2017-02-01,-6954.5,-9475.4,-43799.7,-10425.3
2017-03-01,-7226.2,-10640.9,-56872.1,-17732.2
2017-04-01,-7025.5,-10799.7,-58908.6,-21337.8
2017-05-01,-7034.5,-11078.6,-60936.3,-22005.9
2017-06-01,-6234.6,-11395.6,-61882.5,-25663.7
2017-07-01,-6427.9,-9355.5,-67508.0,-25727.9
2017-08-01,-6009.1,-10141.8,-62433.3,-26178.0
2017-09-01,-5797.4,-9620.7,-72108.1,-28243.2
2017-10-01,-7728.2,-10579.5,-67263.1,-26637.8
2017-11-01,-7293.2,-11228.5,-71042.5,-27853.8
2017-12-01,-7971.2,-10033.1,-67490.8,-25568.3
2018-01-01,-9029.5,-7465.1,-59265.0,-21900.6
2018-02-01,-5458.6,-10278.9,-60061.2,-20960.8
2018-03-01,-5637.0,-11434.3,-62749.3,-15370.8
2018-04-01,-6445.1,-9849.3,-61460.5,-22171.6
2018-05-01,-7117.4,-11490.6,-61992.1,-24601.4
2018-06-01,-7882.3,-10982.3,-70697.5,-28929.3
2018-07-01,-8679.8,-10198.3,-72703.6,-28113.1
2018-08-01,-8730.6,-11547.5,-72157.2,-31104.5
2018-09-01,-7420.1,-11702.2,-77647.1,-34124.6
2018-10-01,-8445.8,-11724.9,-81186.5,-31769.8
2018-11-01,-6990.3,-10225.3,-78135.4,-35536.7
2018-12-01,-6836.6,-12604.9,-68522.4,-29846.2
2019-01-01,-6403.8,-8595.7,-62436.7,-27303.2
2019-02-01,-4987.9,-11688.1,-54232.5,-14696.1
2019-03-01,-7376.4,-12810.4,-65860.2,-20471.8
2019-04-01,-7078.9,-13423.1,-65772.0,-21013.8
2019-05-01,-8908.3,-13506.9,-72720.1,-26840.3
2019-06-01,-8602.3,-13371.1,-77032.0,-29885.9
2019-07-01,-9252.5,-12185.5,-76992.1,-27957.6
2019-08-01,-7340.9,-13659.5,-70084.5,-26936.5
2019-09-01,-8244.2,-12456.8,-72010.1,-25883.6
2019-10-01,-9096.0,-14045.9,-75952.1,-26437.5
2019-11-01,-7213.2,-12620.7,-65854.7,-24580.6
2019-12-01,-9785.6,-14334.6,-69037.5,-23341.8
2020-01-01,-7918.4,-9555.6,-53558.7,-17582.7
2020-02-01,-6097.1,-12743.2,-47766.8,-7744.8
2020-03-01,-6492.6,-13648.6,-63034.2,-15286.4
2020-04-01,-4013.8,-8084.3,-52656.2,-22799.2
2020-05-01,-4793.6,-6341.9,-66239.1,-27891.3
2020-06-01,-5289.9,-15264.9,-79172.2,-29413.5
2020-07-01,-6301.3,-15019.8,-98719.7,-32435.2
2020-08-01,-6541.3,-15248.5,-86300.9,-34184.6
2020-09-01,-6970.6,-15353.5,-92926.8,-30711.0
2020-10-01,-7871.1,-16966.4,-91634.2,-31353.7
2020-11-01,-7399.1,-14629.4,-96175.2,-37416.2
2020-12-01,-8031.0,-18017.1,-96119.2,-29891.1
2021-01-01,-9538.8,-9910.8,-85879.4,-28216.5
2021-02-01,-8789.9,-13547.0,-80026.3,-23001.9
2021-03-01,-8706.4,-11390.4,-76102.7,-21290.9
2021-04-01,-8670.9,-14332.7,-84074.7,-28052.7
2021-05-01,-9917.4,-13499.6,-88633.8,-31764.9
2021-06-01,-12174.6,-14459.6,-101656.3,-32563.9
2021-07-01,-10332.2,-12586.4,-104217.8,-35431.0
2021-08-01,-11266.6,-11372.3,-91233.2,-37663.4
2021-09-01,-11586.5,-15125.7,-104854.8,-41983.5
2021-10-01,-11023.7,-14024.9,-105701.4,-40711.8
2021-11-01,-13360.2,-16613.7,-106480.2,-36900.8
2021-12-01,-13167.6,-17893.9,-107786.0,-39216.1
2022-01-01,-13875.0,-10033.2,-86875.0,-33088.5
2022-02-01,-11941.2,-16501.4,-81596.4,-26656.9
2022-03-01,-15405.6,-18326.1,-110896.9,-32044.8
2022-04-01,-13928.2,-15573.6,-97888.9,-32254.3
2022-05-01,-17175.8,-15356.7,-96729.2,-36011.6
2022-06-01,-15814.8,-15601.9,-105494.9,-41334.7
2022-07-01,-14729.0,-12863.2,-94939.8,-41471.1
2022-08-01,-14282.7,-15296.9,-88456.5,-36780.8
2022-09-01,-12645.2,-18411.3,-93685.0,-36051.1
2022-10-01,-11971.3,-17441.4,-85363.0,-34164.9
2022-11-01,-11107.7,-17813.9,-77889.4,-24297.3
2022-12-01,-11787.3,-18436.2,-87035.0,-29416.8
2023-01-01,-14314.1,-13205.4,-67622.1,-29481.5
2023-02-01,-10771.9,-14574.0,-64542.7,-11788.9
2023-03-01,-11992.2,-19450.5,-93287.6,-27551.1
2023-04-01,-11037.9,-16728.3,-88075.0,-29645.5
2023-05-01,-12606.2,-19990.8,-88792.4,-28137.6
2023-06-01,-11026.4,-19842.8,-95840.6,-28673.3
2023-07-01,-11642.8,-18503.5,-95623.4,-30256.9
2023-08-01,-12475.0,-18928.3,-99228.3,-33081.6
