"Date of data","Trading partner code","Trading partner","US dollar",
"201601","502","United States","9,741,991,847",
"201602","502","United States","8,095,754,896",
"201603","502","United States","12,639,163,884",
"201604","502","United States","11,192,971,816",
"201605","502","United States","10,374,552,392",
"201606","502","United States","10,854,822,439",
"201607","502","United States","9,714,188,105",
"201608","502","United States","11,027,864,000",
"201609","502","United States","11,124,106,827",
"201610","502","United States","10,686,754,246",
"201611","502","United States","13,594,710,457",
"201612","502","United States","15,386,343,288",
