Series id,Year,Period,Value
LNS12005054,1982,M04,38.1
LNS12005054,1982,M05,38.1
LNS12005054,1982,M06,38.0
LNS12005054,1982,M07,38.0
LNS12005054,1982,M08,38.0
LNS12005054,1982,M09,37.9
LNS12005054,1982,M10,37.9
LNS12005054,1982,M11,37.9
LNS12005054,1982,M12,38.0
LNS12005054,1983,M01,38.1
LNS12005054,1983,M02,37.8
LNS12005054,1983,M03,38.0
LNS12005054,1983,M04,38.3
LNS12005054,1983,M05,38.2
LNS12005054,1983,M06,38.3
LNS12005054,1983,M07,38.3
LNS12005054,1983,M08,38.4
LNS12005054,1983,M09,38.4
LNS12005054,1983,M10,38.5
LNS12005054,1983,M11,38.1
LNS12005054,1983,M12,38.6
LNS12005054,1984,M01,38.5
LNS12005054,1984,M02,38.8
LNS12005054,1984,M03,38.5
LNS12005054,1984,M04,38.7
LNS12005054,1984,M05,38.7
LNS12005054,1984,M06,38.8
LNS12005054,1984,M07,38.8
LNS12005054,1984,M08,38.7
LNS12005054,1984,M09,38.9
LNS12005054,1984,M10,38.8
LNS12005054,1984,M11,38.9
LNS12005054,1984,M12,38.8
LNS12005054,1985,M01,38.9
LNS12005054,1985,M02,38.7
LNS12005054,1985,M03,39.0
LNS12005054,1985,M04,39.0
LNS12005054,1985,M05,39.1
LNS12005054,1985,M06,39.0
LNS12005054,1985,M07,38.9
LNS12005054,1985,M08,38.9
LNS12005054,1985,M09,39.0
LNS12005054,1985,M10,39.0
LNS12005054,1985,M11,39.1
LNS12005054,1985,M12,39.0
LNS12005054,1986,M01,39.2
LNS12005054,1986,M02,38.9
LNS12005054,1986,M03,39.0
LNS12005054,1986,M04,38.9
LNS12005054,1986,M05,38.9
LNS12005054,1986,M06,39.0
LNS12005054,1986,M07,38.9
LNS12005054,1986,M08,39.1
LNS12005054,1986,M09,39.0
LNS12005054,1986,M10,39.1
LNS12005054,1986,M11,39.1
LNS12005054,1986,M12,39.2
LNS12005054,1987,M01,39.1
LNS12005054,1987,M02,39.4
LNS12005054,1987,M03,39.2
LNS12005054,1987,M04,39.2
LNS12005054,1987,M05,39.2
LNS12005054,1987,M06,39.1
LNS12005054,1987,M07,39.3
LNS12005054,1987,M08,39.2
LNS12005054,1987,M09,39.4
LNS12005054,1987,M10,39.2
LNS12005054,1987,M11,39.2
LNS12005054,1987,M12,39.3
LNS12005054,1988,M01,39.2
LNS12005054,1988,M02,39.3
LNS12005054,1988,M03,39.4
LNS12005054,1988,M04,39.8
LNS12005054,1988,M05,39.4
LNS12005054,1988,M06,39.4
LNS12005054,1988,M07,39.3
LNS12005054,1988,M08,39.3
LNS12005054,1988,M09,39.2
LNS12005054,1988,M10,39.5
LNS12005054,1988,M11,39.2
LNS12005054,1988,M12,39.3
LNS12005054,1989,M01,39.4
LNS12005054,1989,M02,39.4
LNS12005054,1989,M03,39.4
LNS12005054,1989,M04,39.2
LNS12005054,1989,M05,39.4
LNS12005054,1989,M06,39.4
LNS12005054,1989,M07,39.5
LNS12005054,1989,M08,39.6
LNS12005054,1989,M09,39.6
LNS12005054,1989,M10,39.6
LNS12005054,1989,M11,39.6
LNS12005054,1989,M12,39.5
LNS12005054,1990,M01,39.5
LNS12005054,1990,M02,39.5
LNS12005054,1990,M03,39.4
LNS12005054,1990,M04,39.4
LNS12005054,1990,M05,39.2
LNS12005054,1990,M06,39.5
LNS12005054,1990,M07,39.4
LNS12005054,1990,M08,39.4
LNS12005054,1990,M09,39.4
LNS12005054,1990,M10,39.3
LNS12005054,1990,M11,39.4
LNS12005054,1990,M12,39.3
LNS12005054,1991,M01,39.2
LNS12005054,1991,M02,39.2
LNS12005054,1991,M03,39.1
LNS12005054,1991,M04,38.9
LNS12005054,1991,M05,39.1
LNS12005054,1991,M06,39.1
LNS12005054,1991,M07,39.1
LNS12005054,1991,M08,39.2
LNS12005054,1991,M09,39.1
LNS12005054,1991,M10,39.2
LNS12005054,1991,M11,39.1
LNS12005054,1991,M12,39.0
LNS12005054,1992,M01,39.2
LNS12005054,1992,M02,39.3
LNS12005054,1992,M03,39.3
LNS12005054,1992,M04,39.2
LNS12005054,1992,M05,39.2
LNS12005054,1992,M06,39.2
LNS12005054,1992,M07,39.2
LNS12005054,1992,M08,39.1
LNS12005054,1992,M09,39.0
LNS12005054,1992,M10,39.2
LNS12005054,1992,M11,39.2
LNS12005054,1992,M12,39.2
LNS12005054,1993,M01,39.2
LNS12005054,1993,M02,39.3
LNS12005054,1993,M03,39.3
LNS12005054,1993,M04,39.4
LNS12005054,1993,M05,39.4
LNS12005054,1993,M06,39.3
LNS12005054,1993,M07,39.3
LNS12005054,1993,M08,39.4
LNS12005054,1993,M09,39.4
LNS12005054,1993,M10,39.4
LNS12005054,1993,M11,39.4
LNS12005054,1993,M12,39.5
LNS12005054,1994,M01,39.0
LNS12005054,1994,M02,38.4
LNS12005054,1994,M03,39.2
LNS12005054,1994,M04,39.6
LNS12005054,1994,M05,39.3
LNS12005054,1994,M06,39.3
LNS12005054,1994,M07,39.3
LNS12005054,1994,M08,39.2
LNS12005054,1994,M09,39.2
LNS12005054,1994,M10,39.2
LNS12005054,1994,M11,38.9
LNS12005054,1994,M12,39.3
LNS12005054,1995,M01,39.3
LNS12005054,1995,M02,39.1
LNS12005054,1995,M03,39.2
LNS12005054,1995,M04,39.2
LNS12005054,1995,M05,39.1
LNS12005054,1995,M06,39.3
LNS12005054,1995,M07,39.3
LNS12005054,1995,M08,39.3
LNS12005054,1995,M09,39.2
LNS12005054,1995,M10,39.3
LNS12005054,1995,M11,39.4
LNS12005054,1995,M12,39.3
LNS12005054,1996,M01,37.8
LNS12005054,1996,M02,39.4
LNS12005054,1996,M03,39.3
LNS12005054,1996,M04,39.3
LNS12005054,1996,M05,39.3
LNS12005054,1996,M06,39.3
LNS12005054,1996,M07,39.2
LNS12005054,1996,M08,39.3
LNS12005054,1996,M09,39.4
LNS12005054,1996,M10,39.5
LNS12005054,1996,M11,39.5
LNS12005054,1996,M12,39.3
LNS12005054,1997,M01,39.1
LNS12005054,1997,M02,39.3
LNS12005054,1997,M03,39.4
LNS12005054,1997,M04,39.3
LNS12005054,1997,M05,39.5
LNS12005054,1997,M06,39.5
LNS12005054,1997,M07,39.4
LNS12005054,1997,M08,39.4
LNS12005054,1997,M09,39.5
LNS12005054,1997,M10,39.4
LNS12005054,1997,M11,39.4
LNS12005054,1997,M12,39.5
LNS12005054,1998,M01,39.6
LNS12005054,1998,M02,39.5
LNS12005054,1998,M03,39.4
LNS12005054,1998,M04,39.5
LNS12005054,1998,M05,39.5
LNS12005054,1998,M06,39.4
LNS12005054,1998,M07,39.6
LNS12005054,1998,M08,39.5
LNS12005054,1998,M09,39.1
LNS12005054,1998,M10,39.5
LNS12005054,1998,M11,39.5
LNS12005054,1998,M12,39.8
LNS12005054,1999,M01,39.4
LNS12005054,1999,M02,39.6
LNS12005054,1999,M03,39.5
LNS12005054,1999,M04,39.6
LNS12005054,1999,M05,39.5
LNS12005054,1999,M06,39.6
LNS12005054,1999,M07,39.5
LNS12005054,1999,M08,39.6
LNS12005054,1999,M09,39.1
LNS12005054,1999,M10,39.6
LNS12005054,1999,M11,39.7
LNS12005054,1999,M12,39.7
LNS12005054,2000,M01,39.7
LNS12005054,2000,M02,39.9
LNS12005054,2000,M03,39.7
LNS12005054,2000,M04,39.8
LNS12005054,2000,M05,39.7
LNS12005054,2000,M06,39.5
LNS12005054,2000,M07,39.7
LNS12005054,2000,M08,39.6
LNS12005054,2000,M09,39.7
LNS12005054,2000,M10,39.6
LNS12005054,2000,M11,39.6
LNS12005054,2000,M12,39.5
LNS12005054,2001,M01,39.5
LNS12005054,2001,M02,39.4
LNS12005054,2001,M03,39.4
LNS12005054,2001,M04,39.4
LNS12005054,2001,M05,39.4
LNS12005054,2001,M06,39.4
LNS12005054,2001,M07,39.4
LNS12005054,2001,M08,39.3
LNS12005054,2001,M09,38.6
LNS12005054,2001,M10,39.2
LNS12005054,2001,M11,39.2
LNS12005054,2001,M12,39.2
LNS12005054,2002,M01,39.3
LNS12005054,2002,M02,39.1
LNS12005054,2002,M03,39.1
LNS12005054,2002,M04,39.0
LNS12005054,2002,M05,39.1
LNS12005054,2002,M06,39.1
LNS12005054,2002,M07,39.0
LNS12005054,2002,M08,39.1
LNS12005054,2002,M09,39.1
LNS12005054,2002,M10,39.0
LNS12005054,2002,M11,39.1
LNS12005054,2002,M12,38.7
LNS12005054,2003,M01,39.0
LNS12005054,2003,M02,39.0
LNS12005054,2003,M03,39.0
LNS12005054,2003,M04,39.1
LNS12005054,2003,M05,39.0
LNS12005054,2003,M06,39.0
LNS12005054,2003,M07,39.0
LNS12005054,2003,M08,39.0
LNS12005054,2003,M09,39.0
LNS12005054,2003,M10,39.1
LNS12005054,2003,M11,39.0
LNS12005054,2003,M12,39.0
LNS12005054,2004,M01,39.1
LNS12005054,2004,M02,39.1
LNS12005054,2004,M03,39.1
LNS12005054,2004,M04,39.0
LNS12005054,2004,M05,39.0
LNS12005054,2004,M06,38.9
LNS12005054,2004,M07,39.0
LNS12005054,2004,M08,38.9
LNS12005054,2004,M09,38.8
LNS12005054,2004,M10,39.0
LNS12005054,2004,M11,39.0
LNS12005054,2004,M12,39.2
LNS12005054,2005,M01,39.0
LNS12005054,2005,M02,39.1
LNS12005054,2005,M03,39.0
LNS12005054,2005,M04,38.9
LNS12005054,2005,M05,39.0
LNS12005054,2005,M06,39.2
LNS12005054,2005,M07,39.1
LNS12005054,2005,M08,39.1
LNS12005054,2005,M09,39.2
LNS12005054,2005,M10,39.1
LNS12005054,2005,M11,39.2
LNS12005054,2005,M12,39.1
LNS12005054,2006,M01,39.2
LNS12005054,2006,M02,39.2
LNS12005054,2006,M03,39.1
LNS12005054,2006,M04,39.5
LNS12005054,2006,M05,39.2
LNS12005054,2006,M06,39.2
LNS12005054,2006,M07,39.3
LNS12005054,2006,M08,39.3
LNS12005054,2006,M09,39.3
LNS12005054,2006,M10,39.2
LNS12005054,2006,M11,39.0
LNS12005054,2006,M12,39.3
LNS12005054,2007,M01,39.1
LNS12005054,2007,M02,38.8
LNS12005054,2007,M03,39.2
LNS12005054,2007,M04,39.1
LNS12005054,2007,M05,39.2
LNS12005054,2007,M06,39.1
LNS12005054,2007,M07,39.1
LNS12005054,2007,M08,39.1
LNS12005054,2007,M09,39.0
LNS12005054,2007,M10,39.1
LNS12005054,2007,M11,39.5
LNS12005054,2007,M12,39.1
LNS12005054,2008,M01,39.1
LNS12005054,2008,M02,39.0
LNS12005054,2008,M03,39.0
LNS12005054,2008,M04,38.8
LNS12005054,2008,M05,38.9
LNS12005054,2008,M06,39.0
LNS12005054,2008,M07,38.8
LNS12005054,2008,M08,38.8
LNS12005054,2008,M09,38.7
LNS12005054,2008,M10,38.7
LNS12005054,2008,M11,38.6
LNS12005054,2008,M12,38.4
LNS12005054,2009,M01,38.3
LNS12005054,2009,M02,38.3
LNS12005054,2009,M03,38.2
LNS12005054,2009,M04,38.1
LNS12005054,2009,M05,38.0
LNS12005054,2009,M06,37.9
LNS12005054,2009,M07,38.0
LNS12005054,2009,M08,38.0
LNS12005054,2009,M09,38.5
LNS12005054,2009,M10,37.8
LNS12005054,2009,M11,38.0
LNS12005054,2009,M12,38.0
LNS12005054,2010,M01,38.2
LNS12005054,2010,M02,37.4
LNS12005054,2010,M03,38.1
LNS12005054,2010,M04,38.4
LNS12005054,2010,M05,38.2
LNS12005054,2010,M06,38.2
LNS12005054,2010,M07,38.2
LNS12005054,2010,M08,38.1
LNS12005054,2010,M09,38.2
LNS12005054,2010,M10,38.2
LNS12005054,2010,M11,38.1
LNS12005054,2010,M12,38.2
LNS12005054,2011,M01,37.7
LNS12005054,2011,M02,38.2
LNS12005054,2011,M03,38.3
LNS12005054,2011,M04,38.3
LNS12005054,2011,M05,38.3
LNS12005054,2011,M06,38.3
LNS12005054,2011,M07,38.3
LNS12005054,2011,M08,38.2
LNS12005054,2011,M09,38.3
LNS12005054,2011,M10,38.3
LNS12005054,2011,M11,38.3
LNS12005054,2011,M12,38.4
LNS12005054,2012,M01,38.3
LNS12005054,2012,M02,38.4
LNS12005054,2012,M03,38.3
LNS12005054,2012,M04,38.4
LNS12005054,2012,M05,38.3
LNS12005054,2012,M06,38.4
LNS12005054,2012,M07,38.4
LNS12005054,2012,M08,38.5
LNS12005054,2012,M09,38.4
LNS12005054,2012,M10,38.5
LNS12005054,2012,M11,38.7
LNS12005054,2012,M12,38.5
LNS12005054,2013,M01,38.5
LNS12005054,2013,M02,38.6
LNS12005054,2013,M03,38.6
LNS12005054,2013,M04,38.6
LNS12005054,2013,M05,38.6
LNS12005054,2013,M06,38.6
LNS12005054,2013,M07,38.4
LNS12005054,2013,M08,38.6
LNS12005054,2013,M09,38.6
LNS12005054,2013,M10,38.9
LNS12005054,2013,M11,39.0
LNS12005054,2013,M12,38.3
LNS12005054,2014,M01,38.6
LNS12005054,2014,M02,38.0
LNS12005054,2014,M03,38.6
LNS12005054,2014,M04,38.7
LNS12005054,2014,M05,38.7
LNS12005054,2014,M06,38.6
LNS12005054,2014,M07,38.4
LNS12005054,2014,M08,38.7
LNS12005054,2014,M09,38.8
LNS12005054,2014,M10,38.7
LNS12005054,2014,M11,38.7
LNS12005054,2014,M12,38.8
LNS12005054,2015,M01,38.8
LNS12005054,2015,M02,38.7
LNS12005054,2015,M03,38.8
LNS12005054,2015,M04,38.7
LNS12005054,2015,M05,38.7
LNS12005054,2015,M06,38.7
LNS12005054,2015,M07,38.8
LNS12005054,2015,M08,38.8
LNS12005054,2015,M09,38.8
LNS12005054,2015,M10,38.8
LNS12005054,2015,M11,38.6
LNS12005054,2015,M12,38.8
LNS12005054,2016,M01,38.8
LNS12005054,2016,M02,38.7
LNS12005054,2016,M03,38.9
LNS12005054,2016,M04,38.9
LNS12005054,2016,M05,38.7
LNS12005054,2016,M06,38.8
LNS12005054,2016,M07,38.7
LNS12005054,2016,M08,38.7
LNS12005054,2016,M09,38.8
LNS12005054,2016,M10,38.6
LNS12005054,2016,M11,38.6
LNS12005054,2016,M12,38.7
LNS12005054,2017,M01,38.6
LNS12005054,2017,M02,38.9
LNS12005054,2017,M03,38.6
LNS12005054,2017,M04,38.8
LNS12005054,2017,M05,38.8
LNS12005054,2017,M06,38.9
LNS12005054,2017,M07,38.8
LNS12005054,2017,M08,38.7
LNS12005054,2017,M09,38.5
LNS12005054,2017,M10,38.8
LNS12005054,2017,M11,38.8
LNS12005054,2017,M12,38.9
LNS12005054,2018,M01,38.7
LNS12005054,2018,M02,38.9
LNS12005054,2018,M03,38.7
LNS12005054,2018,M04,38.9
LNS12005054,2018,M05,38.9
LNS12005054,2018,M06,38.9
LNS12005054,2018,M07,39.0
LNS12005054,2018,M08,39.0
LNS12005054,2018,M09,38.8
LNS12005054,2018,M10,38.9
LNS12005054,2018,M11,39.2
LNS12005054,2018,M12,38.9
LNS12005054,2019,M01,39.0
LNS12005054,2019,M02,38.7
LNS12005054,2019,M03,38.8
LNS12005054,2019,M04,38.9
LNS12005054,2019,M05,38.9
LNS12005054,2019,M06,38.9
LNS12005054,2019,M07,39.0
LNS12005054,2019,M08,39.0
LNS12005054,2019,M09,39.0
LNS12005054,2019,M10,39.1
LNS12005054,2019,M11,39.3
LNS12005054,2019,M12,38.9
LNS12005054,2020,M01,38.9
LNS12005054,2020,M02,38.8
LNS12005054,2020,M03,38.4
LNS12005054,2020,M04,37.6
LNS12005054,2020,M05,37.8
LNS12005054,2020,M06,38.1
LNS12005054,2020,M07,38.3
LNS12005054,2020,M08,38.5
LNS12005054,2020,M09,39.1
LNS12005054,2020,M10,38.5
LNS12005054,2020,M11,38.5
LNS12005054,2020,M12,38.7
LNS12005054,2021,M01,38.9
LNS12005054,2021,M02,38.6
LNS12005054,2021,M03,38.7
LNS12005054,2021,M04,38.8
LNS12005054,2021,M05,38.7
LNS12005054,2021,M06,38.7
LNS12005054,2021,M07,38.7
LNS12005054,2021,M08,38.7
LNS12005054,2021,M09,38.7
LNS12005054,2021,M10,38.7
LNS12005054,2021,M11,38.7
LNS12005054,2021,M12,38.8
LNS12005054,2022,M01,38.5
LNS12005054,2022,M02,39.0
LNS12005054,2022,M03,38.8
LNS12005054,2022,M04,38.8
LNS12005054,2022,M05,38.7
LNS12005054,2022,M06,38.7
LNS12005054,2022,M07,38.6
LNS12005054,2022,M08,38.7
LNS12005054,2022,M09,38.7
LNS12005054,2022,M10,38.7
LNS12005054,2022,M11,38.5
LNS12005054,2022,M12,38.5
LNS12005054,2023,M01,38.6
LNS12005054,2023,M02,38.7
LNS12005054,2023,M03,38.5
LNS12005054,2023,M04,38.6
LNS12005054,2023,M05,38.6
LNS12005054,2023,M06,38.5
LNS12005054,2023,M07,38.5
LNS12005054,2023,M08,38.5
LNS12005054,2023,M09,38.5
LNS12005054,2023,M10,38.4
LNS12005054,2023,M11,38.4
