Series id,Year,Period,Value
LNS12005054,1976,M06,38.7
LNS12005054,1976,M07,38.7
LNS12005054,1976,M08,38.7
LNS12005054,1976,M09,38.8
LNS12005054,1976,M10,38.7
LNS12005054,1976,M11,38.9
LNS12005054,1976,M12,38.8
LNS12005054,1977,M01,38.2
LNS12005054,1977,M02,39.0
LNS12005054,1977,M03,38.6
LNS12005054,1977,M04,39.0
LNS12005054,1977,M05,39.0
LNS12005054,1977,M06,38.9
LNS12005054,1977,M07,38.9
LNS12005054,1977,M08,38.8
LNS12005054,1977,M09,38.8
LNS12005054,1977,M10,38.9
LNS12005054,1977,M11,38.8
LNS12005054,1977,M12,38.5
LNS12005054,1978,M01,38.3
LNS12005054,1978,M02,38.8
LNS12005054,1978,M03,38.8
LNS12005054,1978,M04,38.8
LNS12005054,1978,M05,38.9
LNS12005054,1978,M06,39.2
LNS12005054,1978,M07,39.0
LNS12005054,1978,M08,39.1
LNS12005054,1978,M09,39.0
LNS12005054,1978,M10,39.0
LNS12005054,1978,M11,38.9
LNS12005054,1978,M12,39.0
LNS12005054,1979,M01,38.8
LNS12005054,1979,M02,38.8
LNS12005054,1979,M03,38.9
LNS12005054,1979,M04,38.5
LNS12005054,1979,M05,39.1
LNS12005054,1979,M06,39.0
LNS12005054,1979,M07,39.0
LNS12005054,1979,M08,38.9
LNS12005054,1979,M09,39.0
LNS12005054,1979,M10,39.1
LNS12005054,1979,M11,39.0
LNS12005054,1979,M12,38.9
LNS12005054,1980,M01,38.7
LNS12005054,1980,M02,38.7
LNS12005054,1980,M03,38.5
LNS12005054,1980,M04,38.5
LNS12005054,1980,M05,38.5
LNS12005054,1980,M06,38.4
LNS12005054,1980,M07,38.3
LNS12005054,1980,M08,38.4
LNS12005054,1980,M09,38.5
LNS12005054,1980,M10,38.5
LNS12005054,1980,M11,38.5
LNS12005054,1980,M12,38.5
LNS12005054,1981,M01,38.5
LNS12005054,1981,M02,38.4
LNS12005054,1981,M03,38.5
LNS12005054,1981,M04,38.2
LNS12005054,1981,M05,38.4
LNS12005054,1981,M06,38.4
LNS12005054,1981,M07,38.5
LNS12005054,1981,M08,38.4
LNS12005054,1981,M09,38.3
LNS12005054,1981,M10,38.1
LNS12005054,1981,M11,38.4
LNS12005054,1981,M12,38.3
LNS12005054,1982,M01,36.7
LNS12005054,1982,M02,38.3
LNS12005054,1982,M03,38.2
