Date,New Mexico,Norway
1973-01-01,,47.052390185671
1973-02-01,,34.1463838646529
1973-03-01,,42.0511908888233
1973-04-01,,37.5315897223404
1973-05-01,,47.7864101441096
1973-06-01,,29.0451792612505
1973-07-01,,14.2875817726491
1973-08-01,,29.8077655129156
1973-09-01,,29.1294733386097
1973-10-01,,25.7627332074288
1973-11-01,,39.1588591187633
1973-12-01,,11.5581591174004
1974-01-01,,8.50453207102209
1974-02-01,,29.1996257949329
1974-03-01,,16.702586352857
1974-04-01,,25.8205176769608
1974-05-01,,41.8083166199502
1974-06-01,,33.9162781698169
1974-07-01,,31.7634656080265
1974-08-01,,43.0367653130582
1974-09-01,,48.6111261158084
1974-10-01,,33.9655595549059
1974-11-01,,60.6377790970163
1974-12-01,,48.8622626509682
1975-01-01,,23.4588576449792
1975-02-01,,74.0833730638336
1975-03-01,,120.430309677192
1975-04-01,,164.555829736391
1975-05-01,,165.667206778177
1975-06-01,,221.853681377066
1975-07-01,,245.842907055427
1975-08-01,,214.264405571215
1975-09-01,,301.883382069429
1975-10-01,,252.563185460101
1975-11-01,,233.546438084047
1975-12-01,,247.555628775868
1976-01-01,,254.445354081651
1976-02-01,,269.754946788105
1976-03-01,,263.303425650366
1976-04-01,,209.470517437154
1976-05-01,,188.510087570499
1976-06-01,,294.737719176994
1976-07-01,,317.819523005271
1976-08-01,,322.286535118286
1976-09-01,,311.895829433085
1976-10-01,,342.904383076002
1976-11-01,,243.093796226639
1976-12-01,,332.288432039929
1977-01-01,,328.478832818737
1977-02-01,,318.233940828115
1977-03-01,,314.570750141343
1977-04-01,,248.91227224905
1977-05-01,,166.274473012842
1977-06-01,,227.609305825299
1977-07-01,,227.910467301233
1977-08-01,,271.406891861535
1977-09-01,,266.997794152741
1977-10-01,,301.317058672326
1977-11-01,,322.688363475704
1977-12-01,,374.043364240524
1978-01-01,,368.992345474612
1978-02-01,,357.854785035249
1978-03-01,,351.791383694047
1978-04-01,,374.031105325663
1978-05-01,,358.147337744402
1978-06-01,,299.374472658473
1978-07-01,,373.531910662164
1978-08-01,,376.647321188817
1978-09-01,,372.282228679699
1978-10-01,,358.007190098421
1978-11-01,,351.801447758243
1978-12-01,,337.618508269599
1979-01-01,,338.210341742175
1979-02-01,,335.679826010641
1979-03-01,,352.562347619479
1979-04-01,,395.706676905955
1979-05-01,,383.86119158513
1979-06-01,,389.761266797624
1979-07-01,,391.757756737544
1979-08-01,,415.832248481613
1979-09-01,,487.801081993523
1979-10-01,,372.183140177539
1979-11-01,,490.024483609756
1979-12-01,,488.391323611923
1980-01-01,,508.19547841406
1980-02-01,,540.527830384651
1980-03-01,,509.7766270713
1980-04-01,,493.760994717572
1980-05-01,,513.756522570302
1980-06-01,,541.31333057277
1980-07-01,,255.451153876772
1980-08-01,,510.857374298767
1980-09-01,,479.921617041732
1980-10-01,,508.891787007102
1980-11-01,,480.432218381911
1980-12-01,,497.868118045944
1981-01-01,203.0,482.403139923136
1981-02-01,200.0,479.285969181619
1981-03-01,197.0,485.653048851926
1981-04-01,197.0,477.488627822024
1981-05-01,195.0,524.781520941008
1981-06-01,192.0,588.868335980986
1981-07-01,192.0,522.845600176906
1981-08-01,194.0,335.7399698865
1981-09-01,194.0,471.777725348984
1981-10-01,195.0,396.252136013718
1981-11-01,195.0,483.875452238644
1981-12-01,199.0,445.929634527137
1982-01-01,194.0,500.838648992453
